Player,,Weight_catlight_player,Weight_catmedium_player,Weight_catheavy_player
Jalen Brunson,86.18248,1,0,0
Jalen Duren,113.398,0,0,1
Jalen Green,84.368112,1,0,0
Jalen Hood-Schifino,95.25432,0,1,0
Jalen Johnson,99.336648,0,1,0
Jalen McDaniels,86.18248,1,0,0
Jalen Pickett,91.625584,1,0,0
Jalen Smith,97.52228,0,1,0
Jalen Suggs,92.98636,1,0,0
Jalen Williams,95.707912,0,1,0
Jalen Wilson,99.79024,0,1,0
Jamal Cain,86.636072,1,0,0
Jamal Murray,97.52228,0,1,0
Jamal Shead,90.7184,1,0,0
Jamaree Bouyea,81.64656,1,0,0
James Harden,99.79024,0,1,0
James Johnson,108.86208,0,0,1
James Wiseman,108.86208,0,0,1
Jamison Battle,99.79024,0,1,0
Jarace Walker,106.59412,0,0,1
Jared Butler,87.543256,1,0,0
Jared McCain,88.45044,1,0,0
Jared Rhoden,95.25432,0,1,0
Jaren Jackson Jr.,109.769264,0,0,1
Jarred Vanderbilt,97.068688,0,1,0
Jarrett Allen,110.222856,0,0,1
Javonte Green,92.98636,1,0,0
Jaxson Hayes,99.79024,0,1,0
Jay Huff,108.86208,0,0,1
Jaylen Brown,101.151016,0,1,0
Jaylen Clark,92.98636,1,0,0
Jaylen Martin,97.975872,0,1,0
Jaylen Nowell,91.171992,1,0,0
Jaylen Sims,95.25432,0,1,0
Jaylen Wells,92.98636,1,0,0
Jaylin Williams,108.86208,0,0,1
Jaylon Tyson,97.52228,0,1,0
Jayson Tatum,95.25432,0,1,0
Jazian Gortman,83.460928,1,0,0
JD Davison,88.45044,1,0,0
Jeff Dowtin Jr.,80.285784,1,0,0
Jeff Green,106.59412,0,0,1
Jerami Grant,95.25432,0,1,0
Jeremiah Robinson-Earl,108.86208,0,0,1
Jeremy Sochan,104.32616,0,1,0
Jericho Sims,113.398,0,0,1
Jesse Edwards,107.047712,0,0,1
Jett Howard,97.52228,0,1,0
Jevon Carter,90.7184,1,0,0
Jimmy Butler III,104.32616,0,1,0
Jock Landale,115.66596,0,0,1
Joe Ingles,99.79024,0,1,0
Joel Embiid,127.00576,0,0,1
John Collins,102.511792,0,1,0
John Konchar,95.25432,0,1,0
Johnny Davis,88.45044,1,0,0
Johnny Furphy,90.7184,1,0,0
Johnny Juzang,102.511792,0,1,0
Jonas Valančiūnas,120.20188,0,0,1
Jonathan Isaac,104.32616,0,1,0
Jonathan Kuminga,102.0582,0,1,0
Jonathan Mogbo,102.0582,0,1,0
Jordan Clarkson,87.996848,1,0,0
Jordan Goodwin,97.52228,0,1,0
Jordan Hawkins,86.18248,1,0,0
Jordan McLaughlin,83.91452,1,0,0
Jordan Miller,87.996848,1,0,0
Jordan Poole,87.996848,1,0,0
Jordan Walsh,92.98636,1,0,0
Jose Alvarado,81.192968,1,0,0
Josh Christopher,97.52228,0,1,0
Josh Giddey,97.975872,0,1,0
Josh Green,90.7184,1,0,0
Josh Hart,97.52228,0,1,0
Josh Minott,92.98636,1,0,0
Josh Okogie,96.615096,0,1,0
Josh Richardson,90.7184,1,0,0
Jrue Holiday,92.98636,1,0,0
JT Thor,92.079176,1,0,0
Julian Champagnie,98.429464,0,1,0
Julian Phillips,89.811216,1,0,0
Julian Strawther,92.98636,1,0,0
Julius Randle,113.398,0,0,1
Justin Champagnie,93.439952,0,1,0
Justin Edwards,92.079176,1,0,0
Justin Minaya,92.98636,1,0,0
Jusuf Nurkić,131.54168,0,0,1
Kai Jones,100.243832,0,1,0
Karl-Anthony Towns,112.490816,0,0,1
Karlo Matković,104.779752,0,1,0
Kawhi Leonard,102.0582,0,1,0
Keaton Wallace,83.91452,1,0,0
Keegan Murray,102.0582,0,1,0
Keion Brooks Jr.,95.25432,0,1,0
Kel'el Ware,104.32616,0,1,0
Keldon Johnson,99.79024,0,1,0
Kelly Olynyk,108.86208,0,0,1
Kelly Oubre Jr.,92.079176,1,0,0
Kenrich Williams,95.25432,0,1,0
Kentavious Caldwell-Pope,92.532768,1,0,0
Keon Ellis,79.3786,1,0,0
Keon Johnson,83.91452,1,0,0
Keshad Johnson,102.0582,0,1,0
Kessler Edwards,92.079176,1,0,0
Kevin Durant,108.86208,0,0,1
Kevin Huerter,89.811216,1,0,0
Kevin Knox II,97.52228,0,1,0
Kevin Love,113.851592,0,0,1
Kevin McCullar Jr.,95.25432,0,1,0
Kevin Porter Jr.,92.079176,1,0,0
Kevon Looney,100.697424,0,1,0
Keyonte George,83.91452,1,0,0
Khris Middleton,100.697424,0,1,0
Killian Hayes,88.45044,1,0,0
KJ Martin,97.52228,0,1,0
KJ Simpson,85.728888,1,0,0
Klay Thompson,99.79024,0,1,0
Kobe Brown,113.398,0,0,1
Kobe Bufkin,88.45044,1,0,0
Kris Dunn,92.98636,1,0,0
Kris Murray,97.975872,0,1,0
Kristaps Porziņģis,108.86208,0,0,1
Kyle Anderson,104.32616,0,1,0
Kyle Filipowski,113.398,0,0,1
Kyle Kuzma,100.243832,0,1,0
Kyle Lowry,88.904032,1,0,0
Kylor Kelley,104.32616,0,1,0
Kyrie Irving,88.45044,1,0,0
Kyshawn George,90.7184,1,0,0
Lamar Stevens,104.32616,0,1,0
LaMelo Ball,81.64656,1,0,0
Landry Shamet,86.18248,1,0,0
Larry Nance Jr.,111.13004,0,0,1
Lauri Markkanen,108.86208,0,0,1
LeBron James,113.398,0,0,1
Leonard Miller,99.79024,0,1,0
Lester Quinones,94.347136,0,1,0
Liam Robbins,113.398,0,0,1
Lindy Waters III,95.25432,0,1,0
Lonnie Walker IV,92.532768,1,0,0
Lonzo Ball,86.18248,1,0,0
Luguentz Dort,99.79024,0,1,0
Luka Dončić,104.32616,0,1,0
Luka Garza,110.222856,0,0,1
Luke Kennard,93.439952,0,1,0
Luke Kornet,113.398,0,0,1
Luke Travers,93.893544,0,1,0
Mac McClung,83.91452,1,0,0
Malachi Flynn,83.91452,1,0,0
Malaki Branham,81.64656,1,0,0
Malcolm Brogdon,103.872568,0,1,0
Malevy Leons,95.25432,0,1,0
Malik Beasley,84.821704,1,0,0
Malik Monk,90.7184,1,0,0
Marcus Bagley,98.429464,0,1,0
Marcus Garrett,92.98636,1,0,0
Marcus Sasser,88.45044,1,0,0
Marcus Smart,99.79024,0,1,0
MarJon Beauchamp,90.264808,1,0,0
Mark Williams,108.86208,0,0,1
Markelle Fultz,94.800728,0,1,0
Markieff Morris,111.13004,0,0,1
Marvin Bagley III,106.59412,0,0,1
Mason Jones,90.7184,1,0,0
Mason Plumlee,115.212368,0,0,1
Matas Buzelis,94.800728,0,1,0
Matisse Thybulle,91.171992,1,0,0
Matt Ryan,97.52228,0,1,0
Max Christie,86.18248,1,0,0
Max Strus,97.52228,0,1,0
Maxi Kleber,108.86208,0,0,1
Maxwell Lewis,97.52228,0,1,0
Micah Potter,112.490816,0,0,1
Michael Porter Jr.,98.883056,0,1,0
Mikal Bridges,94.800728,0,1,0
Mike Conley,79.3786,1,0,0
Miles Bridges,102.0582,0,1,0
Miles McBride,88.45044,1,0,0
Miles Norris,99.79024,0,1,0
Mitchell Robinson,108.86208,0,0,1
Mo Bamba,104.779752,0,1,0
Monté Morris,83.007336,1,0,0
Moritz Wagner,111.13004,0,0,1
Moses Brown,117.026736,0,0,1
Moses Moody,95.707912,0,1,0
Mouhamed Gueye,95.25432,0,1,0
Moussa Diabaté,95.25432,0,1,0
Myles Turner,113.398,0,0,1
N'Faly Dante,104.32616,0,1,0
Nae'Qwan Tomlin,95.25432,0,1,0
Naji Marshall,99.79024,0,1,0
Nate Williams,92.98636,1,0,0
Naz Reid,119.748288,0,0,1
Neemias Queta,112.490816,0,0,1
Nic Claxton,97.52228,0,1,0
Nick Richards,111.13004,0,0,1
Nick Smith Jr.,83.91452,1,0,0
Nickeil Alexander-Walker,92.98636,1,0,0
Nicolas Batum,104.32616,0,1,0
Nikola Jokić,128.820128,0,0,1
Nikola Jović,92.98636,1,0,0
Nikola Vučević,117.93392,0,0,1
Noah Clowney,95.25432,0,1,0
Norman Powell,97.52228,0,1,0
Obi Toppin,99.79024,0,1,0
Ochai Agbaji,97.52228,0,1,0
OG Anunoby,108.86208,0,0,1
Olivier-Maxence Prosper,104.32616,0,1,0
Onyeka Okongwu,108.86208,0,0,1
Orlando Robinson,106.59412,0,0,1
Oscar Tshiebwe,115.66596,0,0,1
Oshae Brissett,95.25432,0,1,0
Oso Ighodaro,106.59412,0,0,1
Ousmane Dieng,83.91452,1,0,0
P.J. Tucker,111.13004,0,0,1
P.J. Washington,104.32616,0,1,0
Pacôme Dadiet,95.25432,0,1,0
Paolo Banchero,113.398,0,0,1
Pascal Siakam,111.13004,0,0,1
Pat Connaughton,94.800728,0,1,0
Pat Spencer,92.98636,1,0,0
Patrick Baldwin Jr.,99.79024,0,1,0
Patrick Williams,97.52228,0,1,0
Patty Mills,81.64656,1,0,0
Paul George,99.79024,0,1,0
Paul Reed,95.25432,0,1,0
Payton Pritchard,88.45044,1,0,0
Pelle Larsson,97.52228,0,1,0
Pete Nance,102.0582,0,1,0
Peyton Watson,90.7184,1,0,0
Phillip Wheeler,83.91452,1,0,0
PJ Dozier,92.98636,1,0,0
PJ Hall,111.13004,0,0,1
Precious Achiuwa,110.222856,0,0,1
Quentin Grimes,95.25432,0,1,0
Quenton Jackson,78.471416,1,0,0
Quincy Olivari,90.7184,1,0,0
Quinten Post,107.954896,0,0,1
Rayan Rupert,88.45044,1,0,0
RayJ Dennis,81.64656,1,0,0
Reece Beekman,86.18248,1,0,0
Reed Sheppard,83.91452,1,0,0
Reggie Jackson,94.347136,0,1,0
Richaun Holmes,106.59412,0,0,1
Ricky Council IV,93.893544,0,1,0
Riley Minix,104.32616,0,1,0
RJ Barrett,97.068688,0,1,0
Rob Dillingham,79.3786,1,0,0
Robert Williams III,112.944408,0,0,1
Ron Harper Jr.,105.686936,0,1,0
Ronald Holland II,93.439952,0,1,0
Royce O'Neale,102.511792,0,1,0
Rudy Gobert,117.026736,0,0,1
Rui Hachimura,104.32616,0,1,0
Russell Westbrook,90.7184,1,0,0
Ryan Dunn,97.975872,0,1,0
Ryan Rollins,81.64656,1,0,0
Sam Hauser,98.429464,0,1,0
Sam Merrill,92.98636,1,0,0
Sandro Mamukelashvili,108.86208,0,0,1
Santi Aldama,97.52228,0,1,0
Scoot Henderson,93.439952,0,1,0
Scottie Barnes,107.501304,0,0,1
Scotty Pippen Jr.,77.11064,1,0,0
Seth Curry,83.91452,1,0,0
Shaedon Sharpe,94.347136,0,1,0
Shai Gilgeous-Alexander,88.45044,1,0,0
Shake Milton,92.98636,1,0,0
Sidy Cissoko,90.7184,1,0,0
Simone Fontecchio,94.800728,0,1,0
Skal Labissiere,106.59412,0,0,1
Spencer Dinwiddie,97.52228,0,1,0
Spencer Jones,102.0582,0,1,0
Stanley Umude,95.25432,0,1,0
Stephen Curry,83.91452,1,0,0
Stephon Castle,97.52228,0,1,0
Steven Adams,120.20188,0,0,1
Svi Mykhailiuk,92.98636,1,0,0
T.J. McConnell,86.18248,1,0,0
Taj Gibson,105.233344,0,1,0
Talen Horton-Tucker,106.140528,0,0,1
Tari Eason,97.52228,0,1,0
Taurean Prince,98.883056,0,1,0
Taylor Hendricks,97.52228,0,1,0
Tazé Moore,88.45044,1,0,0
Terance Mann,97.52228,0,1,0
Terence Davis,91.171992,1,0,0
Terrence Shannon Jr.,97.52228,0,1,0
Terry Rozier,86.18248,1,0,0
Terry Taylor,104.32616,0,1,0
Thomas Bryant,112.490816,0,0,1
Tidjane Salaün,93.893544,0,1,0
Tim Hardaway Jr.,92.98636,1,0,0
Tobias Harris,102.511792,0,1,0
Tolu Smith,110.676448,0,0,1
Tony Bradley,112.490816,0,0,1
Torrey Craig,100.243832,0,1,0
Tosan Evbuomwan,98.429464,0,1,0
Toumani Camara,103.872568,0,1,0
Trae Young,74.389088,1,0,0
Trayce Jackson-Davis,111.13004,0,0,1
Tre Jones,83.91452,1,0,0
Tre Mann,80.739376,1,0,0
Trendon Watford,107.501304,0,0,1
Trentyn Flowers,83.91452,1,0,0
Trevelin Queen,86.18248,1,0,0
Trey Alexander,83.91452,1,0,0
Trey Jemison III,122.46984,0,0,1
Trey Lyles,106.140528,0,0,1
Trey Murphy III,93.439952,0,1,0
Tristan da Silva,98.429464,0,1,0
Tristan Thompson,115.212368,0,0,1
Tristan Vukcevic,99.79024,0,1,0
Tristen Newton,86.18248,1,0,0
Ty Jerome,88.45044,1,0,0
Tyler Herro,88.45044,1,0,0
Tyler Kolek,88.45044,1,0,0
Tyler Smith,101.604608,0,1,0
Tyrese Haliburton,83.91452,1,0,0
Tyrese Martin,97.52228,0,1,0
Tyrese Maxey,90.7184,1,0,0
Tyson Etienne,90.7184,1,0,0
TyTy Washington Jr.,88.45044,1,0,0
Tyus Jones,88.904032,1,0,0
Ulrich Chomche,106.59412,0,0,1
Vasilije Micić,85.275296,1,0,0
Victor Wembanyama,106.59412,0,0,1
Vince Williams Jr.,92.98636,1,0,0
