"NAME" "TEAM" "POS" "AGE" "GP-Games_played" "MpG-Minutes_per_game" "USG%-usage_rate" "TO%-Turnovers_per_100_poss" "FTA" "FT%" "2PA" "2P%" "3PA" "3P%" "eFG%" "TS%-Shooting_efficiency" "PpG-Points" "RpG-Rebounds" "ApG-Assists" "SpG-Steals" "BpG-Blocks" "TOpG-Turnovers_per_game" "P+R-Points_rebounds" "P+A-Points_assists" "P+R+A-Points_rebounds_assists" "VI-player_versatility" "ORtg-points_produced" "DRtg-points_allowed" "RANK"
"KJ Simpson" Cha G 22.7 36 23.4 19.1 15.7 50 0.82 171 0.415 130 0.254 0.4 0.437 7.8 3 3.1 0.9 0.2 1.6 10.9 10.9 14 7.1 95.1 114.5 305
"Karlo Matkovic" Nor F-C 24 42 18.8 15.9 15.4 44 0.773 169 0.675 66 0.318 0.619 0.639 7.7 5 1.1 0.5 1 1 12.7 8.8 13.8 7.4 119.1 108.1 307
"Oscar Tshiebwe" Uta F-C 25.4 14 18.2 15.3 12.4 31 0.742 70 0.6 0 0 0.6 0.64 7.6 8.7 0.6 0.9 0.1 0.7 16.4 8.3 17 7.5 132.7 107.7 308
"Lonzo Ball" Chi G 27.5 35 22.2 15.9 14.4 27 0.815 48 0.458 195 0.344 0.504 0.524 7.6 3.4 3.3 1.3 0.5 1.2 11 10.9 14.3 7.9 109.5 111.3 309
"Matisse Thybulle" Por G-F 28.1 15 20.8 14.3 12.8 15 0.467 40 0.525 48 0.438 0.597 0.592 7.5 3.5 1.9 2.2 0.6 0.9 10.9 9.3 12.8 7.1 118.9 110.8 310
"Garrison Mathews" Atl G 28.5 47 17.6 15.9 10.8 78 0.821 38 0.447 219 0.388 0.562 0.606 7.5 1.9 1.3 0.6 0.3 0.7 9.4 8.8 10.6 6 119.1 111.3 311
"A.J. Green" Mil G 25.5 73 22.7 12.6 8.6 27 0.815 61 0.443 363 0.427 0.612 0.621 7.4 2.4 1.5 0.5 0.1 0.5 9.8 8.9 11.3 5.3 119.4 108.3 314
"Josh Green" Cha G 24.4 68 27.8 11.8 14.2 72 0.681 173 0.48 248 0.391 0.543 0.559 7.4 2.5 1.6 1.1 0.2 1 10 9 11.6 4.5 108.8 112.9 315
"Richaun Holmes" Was F 31.5 31 17.2 14.7 13.1 60 0.833 136 0.662 3 0 0.647 0.695 7.4 5.7 1.4 0.3 0.7 0.7 13.1 8.8 14.5 9.1 138.9 111.9 317
"Damion Baugh" Cha G 24.7 15 24.7 19.2 19.2 15 0.867 74 0.405 56 0.214 0.369 0.399 7.3 3.3 3.7 1 0.1 2.1 10.6 11 14.3 7.2 86.9 114.9 318
"Ricky Council IV" Phi G 23.7 73 17.1 20.3 10.1 153 0.804 250 0.488 213 0.258 0.442 0.502 7.3 2.9 1.3 0.4 0.2 0.7 10.2 8.6 11.5 7.1 106.1 116.9 319
"Andre Drummond" Phi C 31.7 40 18.8 19.1 19 90 0.622 214 0.533 20 0.15 0.506 0.535 7.3 7.8 0.9 1 0.5 1.4 15.1 8.2 15.9 7.9 107.6 102.8 321
"Alec Burks" Mia G 33.7 49 17.6 16.5 9.7 49 0.776 64 0.422 207 0.425 0.587 0.608 7.3 2.5 1.1 0.6 0.1 0.6 9.8 8.4 10.9 6.2 116.8 112.3 322
"Tristan da Silva" Orl F 23.9 74 22 15.2 10.4 63 0.873 244 0.488 239 0.335 0.495 0.522 7.2 3.3 1.5 0.4 0.2 0.8 10.5 8.7 12 6 109.2 109.7 324
"Nae'Qwan Tomlin" Cle F 24.3 5 12.7 26 5.8 11 0.727 22 0.5 10 0.2 0.438 0.489 7.2 4.2 0.4 0 0.2 0.4 11.4 7.6 11.8 7.2 111.1 101 325
"GG Jackson" Mem F 20.3 29 15.8 21.8 13.5 40 0.725 104 0.404 95 0.337 0.452 0.482 7.2 3.2 1 0.4 0.2 1.1 10.4 8.2 11.4 7.2 98.1 111.4 326
"Daeqwon Plowden" Atl G-F 26.6 6 11.9 17.1 13.6 2 1 8 0.875 17 0.529 0.82 0.831 7.2 1.8 0.3 0 0 0.7 9 7.5 9.3 5.3 134.3 108.4 327
"Vit Krejci" Atl G 24.8 57 20.2 12.9 14.6 45 0.711 86 0.64 206 0.437 0.651 0.661 7.2 2.7 2.6 0.6 0.5 0.9 10 9.8 12.5 7.3 126.1 111.3 329
"Sam Merrill" Cle G 28.9 71 19.7 14.3 7.6 29 0.966 56 0.625 368 0.372 0.567 0.583 7.2 2.2 1.5 0.7 0.2 0.5 9.4 8.7 10.9 5.8 121.5 108 330
"Goga Bitadze" Orl C-F 25.7 70 20.4 14.4 17.5 133 0.639 311 0.656 28 0.107 0.615 0.631 7.2 6.6 2 0.7 1.4 1 13.8 9.1 15.7 8.9 126.5 100.3 331
"Jamison Battle" Tor F 23.9 59 17.7 15.3 7.2 18 0.889 88 0.5 259 0.405 0.581 0.59 7.1 2.7 0.9 0.3 0.2 0.5 9.8 8 10.7 5.8 117.4 111.3 332
"Jamal Shead" Tor G 22.7 75 19.6 18.6 18.8 69 0.768 281 0.47 223 0.323 0.476 0.499 7.1 1.5 4.2 0.8 0.1 1.6 8.6 11.3 12.9 7.2 103.8 109.7 333
"Alex Caruso" Okc G 31.1 54 19.3 15.2 10.5 51 0.824 144 0.556 170 0.353 0.541 0.568 7.1 2.9 2.5 1.6 0.6 0.7 10 9.6 12.6 7.7 121.6 100.3 334
"Jaylen Sims" Cha G 20 6 18.6 16.2 22 15 0.8 13 0.462 15 0.4 0.536 0.607 7 1 2 0.5 0.2 1.3 8 9 10 5.2 113.1 114.5 336
"Marcus Garrett" Cha G 26.4 4 19.9 18.6 18 4 0.75 19 0.421 8 0.375 0.463 0.487 7 1.5 3.3 0.8 0.5 1.5 8.5 10.3 11.8 6.6 99.1 108.5 337
"Isaiah Jackson" Ind F 23.3 5 16.8 17.6 17.7 14 0.5 23 0.609 0 0 0.609 0.6 7 5.6 1 0.6 1.6 1 12.6 8 13.6 8.1 119.2 98.2 338
"Jeff Dowtin Jr." Phi G 27.9 41 15.1 18.6 6.1 45 0.733 160 0.525 70 0.4 0.548 0.57 7 1.5 1.9 0.6 0.3 0.4 8.4 8.9 10.3 7.2 122 118.7 339
"Ryan Dunn" Pho F 22.3 74 19.1 16.7 7.7 39 0.487 213 0.577 264 0.311 0.516 0.517 6.9 3.6 0.8 0.6 0.5 0.5 10.5 7.7 11.3 5.7 107.3 110.5 340
"Antonio Reeves" Nor G 22.4 44 15 18.8 10.8 35 0.8 119 0.521 129 0.395 0.558 0.579 6.9 1.4 0.9 0.5 0.1 0.7 8.4 7.8 9.3 5.5 111 119.9 341
"Jay Huff" Mem C 27.6 64 11.7 19.6 10 56 0.786 105 0.724 200 0.405 0.648 0.666 6.9 2 0.6 0.3 0.9 0.5 8.9 7.5 9.5 6.9 125.5 107.5 342
"Cameron Payne" Nyk G 30.7 72 15.1 20.8 10.4 54 0.907 190 0.453 256 0.363 0.506 0.532 6.9 1.4 2.8 0.5 0.2 0.7 8.4 9.8 11.2 8 115.1 108.2 347
"Jaxson Hayes" Lal C-F 24.9 56 19.5 12.4 16.1 98 0.622 220 0.732 3 0 0.722 0.72 6.8 4.8 1 0.6 0.9 0.8 11.6 7.9 12.7 6.6 134.6 103.3 348
"Bol Bol" Pho C-F 25.4 36 12.5 21.1 9.8 26 0.769 90 0.711 93 0.344 0.612 0.627 6.8 2.9 0.6 0.3 0.7 0.6 9.7 7.4 10.3 7.3 116.8 117.2 349
"Eric Gordon" Phi G 36.3 39 19.7 14.3 12.1 48 0.75 67 0.463 137 0.409 0.564 0.591 6.8 1.2 1.7 0.7 0.3 0.7 8 8.5 9.7 4.9 116.3 120.5 350
"Marcus Bagley" Phi F 23.5 10 25.3 13.8 9.2 10 0.8 37 0.595 32 0.156 0.428 0.456 6.7 7 1 0.9 1.2 0.7 13.7 7.7 14.7 5.7 104.8 113.4 351
"DaQuan Jeffries" Cha G-F 27.6 47 22.8 13.5 10.7 30 0.8 127 0.496 164 0.335 0.5 0.518 6.7 2.9 1.1 0.6 0.5 0.7 9.6 7.8 10.7 4.9 105.2 112.2 352
"Ajay Mitchell" Okc G 22.8 36 16.6 16.3 13.5 35 0.829 125 0.552 60 0.383 0.559 0.589 6.6 1.9 1.8 0.7 0.1 0.8 8.4 8.3 10.2 6.8 116.8 102.1 354
"Vince Williams Jr." Mem G 24.6 27 18.5 17 16.5 24 0.792 72 0.569 95 0.274 0.479 0.504 6.6 3.6 2 0.4 0.3 1.2 10.3 8.7 12.3 7.8 103 108.5 355
"Trayce Jackson-Davis" Gol F 25.1 62 15.6 17.1 13 102 0.578 299 0.582 3 0 0.576 0.587 6.6 5 1.7 0.4 0.6 0.7 11.6 8.2 13.3 9.8 123.7 106.7 356
"Marcus Sasser" Det G 24.6 57 14.2 19.4 15.4 51 0.843 144 0.549 152 0.382 0.561 0.589 6.6 1.2 2.3 0.6 0.1 0.9 7.8 8.9 10.1 7.4 116.6 109.3 357
"Precious Achiuwa" Nyk F 25.6 57 20.5 14.9 12.1 69 0.594 291 0.529 36 0.278 0.517 0.53 6.6 5.6 1 0.8 0.7 0.8 12.2 7.6 13.2 6.5 111.5 108.4 358
"Donovan Clingan" Por C 21.1 67 19.8 14.2 17.7 104 0.596 285 0.582 49 0.286 0.56 0.574 6.5 7.9 1.1 0.5 1.6 1.1 14.4 7.7 15.5 7.8 118.2 100.4 359
"Talen Horton-Tucker" Chi G 24.4 58 12.5 21.6 12.1 98 0.735 169 0.544 122 0.336 0.527 0.567 6.5 1.7 1.4 0.4 0.2 0.7 8.3 8 9.7 8 112.3 112.3 360
"Haywood Highsmith" Mia F 28.3 74 24.6 11.3 12.1 43 0.721 158 0.57 233 0.382 0.572 0.583 6.5 3.4 1.5 0.9 0.5 0.7 9.9 8 11.4 5.2 116.2 107.5 361
"Gary Payton II" Gol G 32.4 62 15 16.1 11.6 38 0.711 203 0.69 95 0.326 0.626 0.635 6.5 3 1.3 0.8 0.3 0.6 9.4 7.8 10.8 7.8 123.6 101.9 362
"Trey Lyles" Sac F 29.4 69 19.6 14.3 9.4 80 0.7 136 0.559 238 0.34 0.528 0.551 6.5 4.6 1.2 0.6 0.3 0.6 11.1 7.7 12.3 6.7 117 112.1 363
"Seth Curry" Cha G 34.6 68 15.6 15.7 8.5 39 0.846 161 0.503 182 0.456 0.599 0.616 6.5 1.7 0.9 0.4 0.1 0.5 8.2 7.4 9.1 5.5 120.3 116.7 364
"Ronald Holland II" Det F 19.8 81 15.6 18.1 14.7 122 0.754 265 0.608 151 0.238 0.517 0.556 6.4 2.7 1 0.6 0.2 0.9 9.1 7.5 10.1 6.6 106.9 104.9 365
"Gabe Vincent" Lal G 28.8 72 21.2 13.5 8.9 21 0.714 111 0.532 309 0.353 0.53 0.536 6.4 1.3 1.4 0.7 0.2 0.6 7.7 7.8 9 4.3 107.9 109.8 367
"Kris Dunn" Lac G 31.1 74 24.1 12.7 14.5 22 0.682 213 0.549 224 0.335 0.525 0.531 6.4 3.4 2.8 1.7 0.4 1 9.8 9.2 12.6 6.5 111.1 100.8 368
"Dru Smith" Mia G 27.3 14 19.2 13.9 21.7 13 0.769 31 0.484 30 0.533 0.639 0.659 6.3 2.6 1.6 1.5 0.4 1.2 8.9 7.9 10.5 6.2 116.1 102.8 369
"Sandro Mamukelashvili" San F-C 25.9 61 11.2 20.8 8.5 58 0.741 120 0.675 161 0.373 0.609 0.628 6.3 3.1 0.8 0.4 0.3 0.4 9.4 7.1 10.2 8.9 125.3 110.1 370
"Jeremiah Robinson-Earl" Nor F 24.4 66 18.8 14.4 12.8 55 0.836 183 0.557 164 0.341 0.536 0.563 6.3 4.8 1.3 0.6 0.1 0.8 11.1 7.7 12.4 7.2 116.7 116.4 372
"Kenrich Williams" Okc G-F 30.4 69 16.4 15.4 9.9 39 0.718 183 0.574 171 0.386 0.576 0.587 6.3 3.5 1.4 0.6 0.1 0.6 9.8 7.7 11.2 7.7 121.4 101.7 374
"Jonathan Mogbo" Tor F 23.5 63 20.4 15 16.4 82 0.732 286 0.486 70 0.243 0.462 0.496 6.2 4.9 2.3 0.9 0.5 1.1 11.1 8.5 13.4 8.1 107 106.4 375
"Ryan Rollins" Mil G 22.8 56 14.6 18.4 16.3 45 0.8 151 0.55 120 0.408 0.577 0.6 6.2 1.9 1.9 0.8 0.3 0.9 8.2 8.1 10 7.7 113.2 104.8 376
"Jarace Walker" Ind F 21.6 75 15.8 17.1 17.8 69 0.667 175 0.543 185 0.405 0.576 0.59 6.1 3.1 1.5 0.7 0.3 1 9.2 7.6 10.7 7.7 105.9 106.4 378
"Isaac Okoro" Cle F-G 24.2 55 19.1 12.5 7.9 46 0.717 116 0.586 151 0.371 0.569 0.587 6.1 2.4 1.2 0.6 0.3 0.4 8.5 7.4 9.7 5.4 125 107.6 380
"Isaiah Mobley" Phi F 25.6 1 17.4 19.7 0 2 0.5 4 0.25 3 0.333 0.357 0.381 6 4 5 1 1 0 10 11 15 11.3 114.2 100.3 381
"N'Faly Dante" Hou C 23.5 4 12.7 14 13 5 0.8 13 0.769 0 0 0.769 0.789 6 5.3 0.5 0.3 1.3 0.5 11.3 6.5 11.8 7.9 147.2 91.3 383
"Mouhamed Gueye" Atl F 22.4 33 16.1 15.7 8.1 42 0.762 90 0.567 81 0.259 0.482 0.52 6 4.2 0.8 0.8 1 0.5 10.2 6.8 11 6.8 113.5 106.9 384
"Isaiah Wong" Cha G 24.2 20 13.3 22.1 14.6 34 0.735 72 0.389 33 0.394 0.452 0.5 6 1.6 1.4 0.6 0 0.9 7.6 7.4 9 7.2 102.7 113.5 386
"Isaiah Stewart" Det F-C 23.9 72 19.9 12.4 17.7 87 0.759 262 0.607 53 0.321 0.586 0.616 6 5.5 1.7 0.4 1.4 0.9 11.6 7.8 13.3 7.7 123.9 102.6 387
"James Wiseman" Ind C 24 1 4.6 45.9 0 2 1 3 0.667 1 0 0.5 0.615 6 1 0 0 0 0 7 6 7 0 123.6 118.4 388
"Luke Kornet" Bos C-F 29.7 73 18.6 11.4 10 97 0.691 277 0.675 3 0 0.668 0.683 6 5.3 1.6 0.5 1 0.4 11.4 7.6 13 8 151.3 105 391
"Tidjane Salaun" Cha F 19.7 60 20.7 15.2 14.4 94 0.713 140 0.4 205 0.283 0.414 0.457 5.9 4.7 1.2 0.5 0.2 1 10.6 7.1 11.8 6.2 96.9 112.7 392
"Simone Fontecchio" Det F 29.3 75 16.5 15.8 12.6 84 0.833 146 0.507 227 0.335 0.504 0.544 5.9 2.9 0.9 0.4 0.2 0.7 8.8 6.8 9.7 6 108.9 109.9 393
"Collin Gillespie" Pho G 25.8 33 14 17.7 9.7 22 0.864 68 0.426 90 0.433 0.554 0.578 5.9 2.4 2.4 0.6 0.2 0.5 8.2 8.2 10.6 9.3 125.9 115.5 394
"Jaylin Williams" Okc F 22.8 47 16.7 14.6 13.7 30 0.767 68 0.529 153 0.399 0.577 0.594 5.9 5.6 2.6 0.5 0.6 0.7 11.5 8.5 14 10.6 126.4 97.7 395
"Adem Bona" Phi F 22 58 15.6 14.3 24.1 100 0.67 191 0.707 1 0 0.703 0.714 5.8 4.2 0.5 0.4 1.2 1.1 10 6.3 10.5 5.9 123 105.7 397
"Quenton Jackson" Ind G 26.6 28 13.6 17.6 11.6 40 0.775 82 0.524 40 0.375 0.537 0.58 5.8 1.6 1.9 0.8 0.2 0.6 7.4 7.7 9.3 7.7 120.7 107 398
"Robert Williams III" Por C-F 27.5 20 17.6 12.1 17.8 17 0.882 75 0.653 3 0.333 0.647 0.679 5.8 5.9 1.1 0.7 1.7 0.9 11.7 6.9 12.8 7.6 127.7 105.8 401
"Dariq Whitehead" Bro G-F 20.7 20 12.3 20.1 13.5 5 0.6 22 0.273 74 0.446 0.578 0.58 5.7 1.5 0.6 0.3 0.1 0.8 7.2 6.3 7.8 5.6 102 111.6 402
"Moussa Diabate" Cha F 23.2 71 17.5 13.4 17.9 116 0.595 274 0.609 6 0 0.596 0.609 5.7 6.2 0.8 0.6 0.6 0.9 11.8 6.5 12.6 7 120.8 108.4 403
"Landry Shamet" Nyk G 28.1 50 15.2 14.8 8.7 18 0.667 74 0.595 156 0.397 0.596 0.601 5.7 1.2 0.5 0.5 0 0.4 6.9 6.3 7.5 4 114.1 112.8 404
"Jordan Goodwin" Lal G 26.5 29 18.7 14.1 15.3 11 0.818 76 0.487 68 0.382 0.528 0.541 5.6 3.9 1.4 1 0.4 0.9 9.4 7 10.9 6.7 110.7 108 405
"Aaron Holiday" Hou G 28.5 62 12.8 16.8 12.1 41 0.829 87 0.517 181 0.398 0.571 0.594 5.5 1.3 1.3 0.3 0.2 0.6 6.7 6.8 8.1 6.6 120.9 108.4 407
"Keaton Wallace" Atl G 26.1 31 16.2 16.4 16.9 11 1 80 0.475 82 0.329 0.485 0.503 5.4 1.6 2.6 0.9 0.3 1.1 7 8 9.6 7 103 112.1 411
"Dean Wade" Cle F-C 28.4 59 21.2 10.4 7.5 30 0.533 49 0.653 222 0.36 0.561 0.563 5.4 4.2 1.3 0.7 0.3 0.4 9.6 6.7 10.9 5.8 122.6 106.8 412
"Jonathan Isaac" Orl F 27.5 71 15.4 16.2 9.2 107 0.682 173 0.549 151 0.258 0.474 0.512 5.4 4.4 0.6 0.9 1.1 0.5 9.8 5.9 10.3 6.3 113 102.3 413
"Jeff Green" Hou F 38.6 32 12.4 14.7 6.9 26 0.808 42 0.762 79 0.367 0.624 0.649 5.4 1.8 0.6 0.2 0.1 0.3 7.2 6 7.8 5.8 133.6 107.8 414
"Ben Sheppard" Ind G 23.7 63 19.5 11.3 7.1 27 0.889 88 0.591 199 0.342 0.537 0.555 5.3 2.8 1.3 0.6 0.2 0.3 8.1 6.6 9.4 5.5 118.6 108.7 416
"Kobe Bufkin" Atl G 21.6 10 12.4 20.9 14.5 18 0.722 28 0.5 19 0.211 0.426 0.483 5.3 2.1 1.7 0.3 0.2 0.8 7.4 7 9.1 8.6 102.9 113.3 417
"Jamal Cain" Nor F 26.1 37 13.6 17 12.2 50 0.68 78 0.538 80 0.325 0.513 0.544 5.3 2.3 0.6 0.6 0.2 0.6 7.6 5.9 8.2 5.7 108.2 114.1 419
"Pat Connaughton" Mil G 32.3 41 14.7 15.6 11.9 31 0.774 96 0.594 81 0.321 0.542 0.567 5.3 2.7 1.7 0.2 0.3 0.6 7.9 7 9.6 7.9 116.3 109.2 420
"Kevin Love" Mia F-C 36.6 23 10.9 24.6 10.8 23 0.696 48 0.354 67 0.358 0.461 0.488 5.3 4.1 1 0.7 0.2 0.6 9.4 6.3 10.3 10.2 103.3 101.2 422
"Jabari Walker" Por F 22.7 60 12.5 16.3 12.9 71 0.69 157 0.573 72 0.389 0.576 0.601 5.2 3.5 0.6 0.6 0.1 0.6 8.7 5.9 9.4 7.1 119.3 103.6 423
"Monte Morris" Pho G 29.8 45 12.7 18.1 9.7 42 0.857 109 0.477 86 0.36 0.505 0.546 5.2 1.5 1.6 0.4 0.1 0.5 6.7 6.8 8.3 7.3 115.4 119.8 424
"Mitchell Robinson" Nyk C-F 27 17 17.1 11.1 15.1 19 0.684 56 0.661 0 0 0.661 0.676 5.1 5.9 0.8 0.9 1.1 0.6 11.1 5.9 11.8 6.8 142.4 105.6 425
"Bismack Biyombo" San C 32.6 28 18.9 12.2 18.5 25 0.4 114 0.588 0 0 0.588 0.576 5.1 5.6 1.1 0.6 0.8 0.9 10.8 6.3 11.9 6.7 111.1 107.9 426
"Alondes Williams" Det G 25.8 1 3.7 22.8 0 0 0 1 1 1 1 1.25 1.25 5 0 1 0 0 0 5 6 6 0 0 0 427
"Malaki Branham" San F 21.9 47 9.1 23.8 15.2 33 0.818 106 0.5 84 0.405 0.547 0.575 5 1.1 0.8 0.2 0 0.7 6.1 5.8 6.9 7.2 103.7 115.3 428
"Neemias Queta" Bos C 25.8 62 13.9 13.7 16.4 61 0.754 200 0.66 3 0 0.65 0.674 5 3.8 0.7 0.3 0.7 0.6 8.8 5.7 9.5 6.8 130.9 100.5 429
"Trevelin Queen" Orl G 28.1 31 13.9 18.1 13 21 0.857 70 0.486 77 0.286 0.456 0.486 4.9 1.7 1.2 1 0.3 0.7 6.6 6.1 7.9 6.2 102.8 104 430
"Jock Landale" Hou C 29.5 42 11.9 15.7 12.1 40 0.675 126 0.556 26 0.423 0.569 0.59 4.8 3.3 0.9 0.3 0.2 0.5 8 5.6 8.9 8.2 123.8 104 432
"Taylor Hendricks" Uta F 21.4 3 24.8 12.2 9.8 4 0.75 6 0.167 12 0.25 0.306 0.354 4.7 5 0.7 1.7 1.3 0.7 9.7 5.3 10.3 4.1 87.2 110.1 433
"Cody Williams" Uta F 20.4 50 21.2 12.5 14.6 40 0.725 122 0.393 135 0.259 0.391 0.419 4.6 2.3 1.2 0.5 0.3 0.9 6.9 5.8 8 4.4 88.7 116.4 434
"Pelle Larsson" Mia G 24.1 55 14.2 14.4 10.6 61 0.672 108 0.528 95 0.337 0.517 0.546 4.6 1.7 1.2 0.6 0.1 0.4 6.2 5.7 7.4 5.9 114.3 104.8 435
"Julian Phillips" Chi F 21.4 79 14.2 12.9 8.6 76 0.789 134 0.582 153 0.327 0.533 0.571 4.6 2.1 0.5 0.5 0.3 0.3 6.8 5.1 7.3 4.8 118.3 111 436
"Rob Dillingham" Min G 20.3 49 10.5 22.7 20.1 15 0.533 137 0.496 74 0.338 0.5 0.503 4.5 1 2 0.4 0 1.1 5.5 6.5 7.5 7.9 99 109.1 439
"Jett Howard" Orl G 21.6 60 11.7 19.2 12.1 23 0.696 76 0.566 186 0.296 0.479 0.491 4.5 1.2 0.7 0.2 0.2 0.6 5.6 5.2 6.4 5.3 96.9 106.3 440
"Dalen Terry" Chi F 22.8 73 13.5 14.9 16.5 69 0.71 164 0.506 104 0.356 0.517 0.546 4.5 1.7 1.3 0.6 0.2 0.7 6.2 5.8 7.5 6.4 108 108.4 442
"Kevon Looney" Gol F 29.2 76 15 13.3 12.3 99 0.566 273 0.516 5 0.4 0.518 0.535 4.5 6.1 1.6 0.6 0.5 0.5 10.6 6.1 12.2 9.4 126.2 97.7 443
"Mason Plumlee" Pho F-C 35.1 74 17.6 10.8 22.6 128 0.648 198 0.631 4 0 0.619 0.645 4.5 6.1 1.8 0.4 0.6 0.8 10.6 6.3 12.5 8.3 131.3 106 444
"Tony Bradley" Ind C-F 27.3 14 8.1 20.2 10 6 0.333 42 0.667 3 0.333 0.656 0.64 4.4 3 0.4 0.1 0.6 0.4 7.4 4.8 7.8 8.6 127.4 106.6 445
"Lamar Stevens" Mem F 27.8 17 9.1 20.2 13.6 11 0.727 36 0.583 27 0.296 0.524 0.545 4.4 2.2 0.5 0.3 0.2 0.6 6.6 4.8 7.1 7.4 102.3 105.3 446
"Reed Sheppard" Hou G 20.8 52 12.6 17.8 13.4 16 0.813 97 0.371 142 0.338 0.452 0.465 4.4 1.5 1.4 0.7 0.3 0.7 5.9 5.8 7.3 6.7 100.8 106.1 447
"Charles Bassey" San C-F 24.5 36 10.4 17.5 16.4 33 0.636 117 0.581 0 0 0.581 0.597 4.4 4.2 0.5 0.4 0.8 0.6 8.6 4.8 9.1 8.1 117.3 102.5 449
"Reggie Jackson" Phi G 35 31 12.4 17.5 11.3 9 0.778 59 0.458 74 0.338 0.485 0.496 4.4 1.4 1.5 0.5 0.1 0.5 5.7 5.8 7.2 6.8 104.2 113.5 451
"Micah Potter" Uta C 27 38 18.6 10.3 18.6 20 0.85 37 0.703 98 0.316 0.537 0.563 4.3 4.3 0.8 0.4 0.4 0.8 8.6 5.1 9.4 5.3 109 115.9 454
"Terrence Shannon Jr." Min G-F 24.7 32 10.6 17.7 11.6 21 0.81 83 0.53 31 0.355 0.531 0.56 4.3 1.5 1 0.2 0.2 0.5 5.8 5.3 6.8 7 113.6 108.2 455
"Jevon Carter" Chi G 29.6 36 8.9 21.1 7 10 0.8 41 0.488 105 0.333 0.497 0.509 4.3 1.1 1.1 0.4 0.1 0.3 5.3 5.4 6.4 7.8 106.7 115.4 456
"Daniel Theis" Nor F-C 33 38 16.4 11.6 16.2 37 0.838 92 0.565 37 0.243 0.508 0.558 4.3 4.3 1.6 0.5 0.5 0.7 8.6 5.8 10.2 7.5 118.3 110.1 457
"Oso Ighodaro" Pho F 22.8 61 17.1 10.5 17.2 50 0.58 185 0.611 2 0 0.604 0.61 4.2 3.6 1.2 0.5 0.5 0.6 7.8 5.4 9 6.1 121.6 112 459
"Cam Spencer" Mem G 25 25 10.1 15.4 6.8 19 1 29 0.517 53 0.358 0.53 0.587 4.2 1.2 1.4 0.4 0 0.2 5.4 5.6 6.8 7.6 133 110.2 460
"Duop Reath" Por C 28.8 46 10.2 17 8.8 22 0.909 60 0.6 106 0.321 0.524 0.552 4.2 2 0.6 0.3 0.3 0.3 6.2 4.8 6.8 6.7 118.6 111.1 461
"Dominick Barlow" Atl F 21.9 35 10.7 14.5 4.2 33 0.636 86 0.616 27 0.259 0.562 0.58 4.2 2.4 0.5 0.3 0.5 0.1 6.7 4.8 7.2 6.4 127.9 107.5 462
"Kris Murray" Por F 24.7 69 15.1 13.8 13.1 57 0.456 159 0.566 120 0.225 0.468 0.472 4.2 2.6 1 0.5 0.2 0.6 6.8 5.1 7.8 5.9 102.9 113.5 463
"Kessler Edwards" Dal F 24.7 40 15.2 11.1 10.6 13 0.923 81 0.556 54 0.407 0.578 0.597 4.2 2.9 1.1 0.5 0.5 0.4 7.1 5.3 8.1 6.3 121.8 108.3 464
"Jordan Miller" Lac G 25.2 37 11.4 18.2 16.2 35 0.8 96 0.521 38 0.211 0.463 0.509 4.1 1.6 0.9 0.5 0.1 0.7 5.7 5 6.6 6.3 102.9 109.1 465
"Jaylen Clark" Min G 23.5 40 13.1 12 6.2 37 0.784 69 0.493 51 0.431 0.558 0.598 4.1 1.3 0.7 0.9 0.1 0.2 5.4 4.7 6.1 4.7 129.6 103 466
"Caleb Houstan" Orl G 22.3 58 13.6 11.7 6.4 17 0.882 30 0.533 160 0.4 0.589 0.605 4.1 1.3 0.6 0.4 0.1 0.2 5.4 4.7 6 4.3 123.4 107.8 467
"Gui Santos" Gol F 22.8 56 13.6 13.3 19 42 0.69 76 0.632 103 0.33 0.553 0.575 4.1 3.1 1.4 0.4 0.2 0.8 7.1 5.5 8.6 7.7 117.5 103.3 468
"Paul Reed" Det F 25.8 45 9.7 18.1 15.4 42 0.762 114 0.561 28 0.286 0.535 0.573 4.1 2.7 1 0.9 0.6 0.6 6.8 5.1 7.8 9.2 117 93.3 469
"Jalen Pickett" Den G 25.5 49 13.6 13.2 11.7 8 0.75 79 0.468 101 0.396 0.539 0.545 4.1 1.4 2.2 0.4 0.1 0.5 5.5 6.3 7.7 6.8 119.1 115.4 470
"Jarred Vanderbilt" Lal F 26 36 16.1 12.5 19.3 36 0.556 89 0.562 32 0.281 0.525 0.537 4.1 5.1 1.1 1 0.3 0.8 9.1 5.2 10.3 7.1 115.5 101.9 471
"Ron Harper Jr." Det G-F 25 1 17 22 0 2 1 2 0.5 6 0 0.125 0.225 4 7 2 0 0 0 11 6 13 9 90.2 118.7 473
"Malachi Flynn" Cha G 26.9 4 10.9 19.1 23 6 0.833 9 0.444 4 0.25 0.423 0.512 4 1.8 1.8 0.8 0 1 5.8 5.8 7.5 8.6 104.5 109.7 474
"Josh Richardson" Mia G 31.6 8 18.7 14.2 17.2 4 1 16 0.313 22 0.273 0.368 0.402 4 1.5 1.5 1 0.1 1 5.5 5.5 7 4.4 87.4 105.6 476
"Nicolas Batum" Lac G-F 36.3 78 17.5 9 12.5 21 0.81 35 0.457 203 0.433 0.622 0.633 4 2.8 1.1 0.7 0.5 0.4 6.8 5.1 7.9 5.3 126 105.8 477
