"NAME" "TEAM" "POS" "AGE" "GP-Games_played" "MpG-Minutes_per_game" "USG%-usage_rate" "TO%-Turnovers_per_100_poss" "FTA" "FT%" "2PA" "2P%" "3PA" "3P%" "eFG%" "TS%-Shooting_efficiency" "PpG-Points" "RpG-Rebounds" "ApG-Assists" "SpG-Steals" "BpG-Blocks" "TOpG-Turnovers_per_game" "P+R-Points_rebounds" "P+A-Points_assists" "P+R+A-Points_rebounds_assists" "VI-player_versatility" "ORtg-points_produced" "DRtg-points_allowed" "RANK"
"Tyrese Haliburton" Ind G 25.1 73 33.6 21.6 10.7 222 0.851 444 0.581 562 0.388 0.582 0.616 18.6 3.5 9.2 1.4 0.7 1.6 22.2 27.8 31.4 10 130.4 115.6 69
"Shaedon Sharpe" Por G 21.9 72 31.3 25.1 12 242 0.785 632 0.557 472 0.311 0.519 0.551 18.5 4.5 2.8 0.9 0.2 2.1 23 21.3 25.8 7.9 109.5 114.5 70
"Evan Mobley" Cle C 23.8 71 30.5 23.2 13.8 305 0.725 676 0.621 230 0.37 0.604 0.633 18.5 9.3 3.2 0.9 1.6 2 27.8 21.7 31 10.7 123.6 106.5 71
"Nikola Vucevic" Chi C 34.5 73 31.2 22.4 10.3 149 0.805 717 0.587 321 0.402 0.592 0.611 18.5 10.1 3.5 0.8 0.7 1.6 28.5 22 32.1 11.1 121.7 109.8 72
"Collin Sexton" Uta G 26.3 63 27.9 27 15.6 251 0.865 596 0.513 271 0.406 0.543 0.593 18.4 2.7 4.2 0.7 0.1 2.5 21.1 22.6 25.3 8.5 114.5 117.6 73
"Michael Porter Jr." Den F 26.8 77 33.7 20.2 9 194 0.768 559 0.599 489 0.395 0.596 0.617 18.2 7 2.1 0.6 0.5 1.4 25.2 20.3 27.3 7.6 121.4 113.4 75
"Bam Adebayo" Mia C-F 27.7 78 34.3 23.5 12.6 327 0.765 892 0.517 221 0.357 0.521 0.561 18.1 9.6 4.3 1.3 0.7 2.1 27.7 22.4 32 10.6 115.1 107.5 76
"O.G. Anunoby" Nyk F-G 27.7 74 36.6 19.7 9 226 0.81 567 0.561 460 0.372 0.559 0.591 18 4.8 2.2 1.5 0.9 1.4 22.8 20.2 25.1 6.3 118.1 111.7 77
"Jaden Ivey" Det G 23.2 30 29.9 26 17.7 116 0.733 259 0.49 154 0.409 0.536 0.569 17.6 4.1 4 0.9 0.4 3 21.7 21.6 25.7 8.8 107.4 110.9 79
"Mikal Bridges" Nyk G-F 28.6 82 37 19.6 10 118 0.814 720 0.594 463 0.354 0.57 0.585 17.6 3.2 3.7 0.9 0.5 1.6 20.8 21.3 24.5 6.4 116.5 116.2 80
"Dejounte Murray" Nor G 28.6 31 32.7 27.3 17.5 124 0.823 320 0.444 174 0.299 0.445 0.494 17.5 6.5 7.4 2 0.4 3.4 23.9 24.8 31.3 11.5 101.3 114.6 82
"Malik Monk" Sac G 27.2 65 31.6 24.6 14.5 178 0.865 511 0.534 428 0.325 0.513 0.549 17.2 3.8 5.6 0.9 0.6 2.4 21 22.8 26.5 9.1 109.9 112.6 83
"Immanuel Quickley" Tor G 25.8 33 27.8 25.1 11.7 128 0.867 213 0.465 225 0.378 0.517 0.57 17.1 3.5 5.8 0.7 0.1 1.8 20.6 22.9 26.4 10.1 119.1 113.5 84
"Bradley Beal" Pho G 31.8 53 32.1 22.1 12.5 137 0.803 430 0.565 264 0.386 0.571 0.598 17 3.3 3.7 1.1 0.5 1.9 20.4 20.7 24 7.4 114.4 115.7 86
"Deni Avdija" Por F 24.3 72 30 23.2 18.8 372 0.78 502 0.552 342 0.365 0.55 0.605 16.9 7.3 3.9 1 0.5 2.7 24.2 20.8 28.1 10.4 115.7 108.7 88
"Keyonte George" Uta G 21.4 67 31.5 24.3 16.6 285 0.818 412 0.449 507 0.343 0.485 0.539 16.8 3.8 5.6 0.7 0.1 2.7 20.6 22.4 26.2 9 108.6 119.8 89
"Ivica Zubac" Lac C 28.1 80 32.8 19.5 11.9 236 0.661 942 0.628 0 0 0.628 0.641 16.8 12.6 2.7 0.7 1.1 1.6 29.4 19.4 32.1 10.1 128.8 104.7 90
"Derrick White" Bos G 30.8 76 33.9 19.8 12 161 0.839 268 0.593 691 0.384 0.58 0.606 16.4 4.5 4.8 0.9 1.1 1.7 20.9 21.2 25.7 8.3 123 110 91
"Devin Vassell" San G-F 24.6 64 31 22.1 9 120 0.792 460 0.513 429 0.368 0.532 0.553 16.3 4 2.9 1.3 0.5 1.4 20.3 19.1 23.1 7.4 109.1 115.5 92
"Malik Beasley" Det G 28.4 82 27.8 22.5 7.2 140 0.679 305 0.466 766 0.416 0.579 0.59 16.3 2.6 1.7 0.9 0.1 1 18.9 18 20.6 6 116.1 113.7 93
"Jalen Suggs" Orl G 23.9 35 28.6 27.5 17.5 110 0.882 239 0.506 242 0.314 0.489 0.536 16.2 4 3.7 1.5 0.9 2.9 20.2 19.9 23.9 8.7 101 102.7 94
"Jordan Clarkson" Uta G 32.9 37 26 27.8 14.9 143 0.797 261 0.448 231 0.364 0.494 0.541 16.2 3.2 3.7 0.8 0.2 2.3 19.4 19.9 23.1 8.9 107 119.3 95
"Paul George" Phi F 35 41 32.5 23.5 15.7 97 0.814 302 0.493 268 0.358 0.514 0.543 16.2 5.3 4.3 1.8 0.5 2.6 21.6 20.6 25.9 8.8 104.3 112.2 96
"Bennedict Mathurin" Ind G-F 22.8 72 29.9 22.8 13.7 332 0.831 565 0.519 288 0.34 0.516 0.579 16.1 5.3 1.9 0.7 0.3 1.9 21.4 17.9 23.3 7.3 110.2 111.2 97
"Myles Turner" Ind C-F 29.1 72 30.2 20.7 13.2 238 0.773 417 0.561 394 0.396 0.577 0.612 15.6 6.5 1.5 0.8 2 1.7 22.1 17.1 23.6 7.1 112.9 108.8 98
"Christian Braun" Den G 24 79 33.9 15.8 9 214 0.827 596 0.649 225 0.396 0.634 0.665 15.4 5.2 2.6 1.1 0.5 1 20.6 18 23.2 7 132.1 113.5 99
"Jared McCain" Phi G 21.1 23 25.7 24.7 11.9 56 0.875 141 0.532 133 0.383 0.553 0.589 15.3 2.4 2.6 0.7 0 1.6 17.7 17.9 20.3 7.1 113.4 117.9 100
"Mark Williams" Cha C 23.3 44 26.6 21.4 13.7 163 0.804 443 0.609 4 0 0.604 0.647 15.3 10.2 2.5 0.7 1.2 1.6 25.4 17.7 27.9 11 126.3 106.5 101
"Jonathan Kuminga" Gol F 22.5 47 24.3 27.3 11.1 235 0.668 417 0.508 151 0.305 0.495 0.535 15.3 4.6 2.2 0.8 0.4 1.5 19.9 17.5 22.1 8.8 107.9 107.5 102
"Kelly Oubre Jr." Phi F-G 29.3 60 34.6 18.9 9.7 185 0.751 499 0.555 242 0.293 0.518 0.551 15.1 6.1 1.8 1.5 0.5 1.3 21.2 16.9 23 6.4 111.1 112.2 104
"Chet Holmgren" Okc C-F 23 32 27.4 22.1 14.1 134 0.754 225 0.547 116 0.379 0.554 0.599 15 8 2 0.7 2.2 1.8 23 16.9 25 9.1 115.5 101 105
"Stephon Castle" San G 20.4 81 26.7 26 15.2 344 0.724 655 0.501 333 0.285 0.476 0.522 14.7 3.7 4.1 0.9 0.3 2.2 18.4 18.8 22.5 9.1 105.5 114.2 107
"P.J. Washington" Dal F 26.6 57 32.2 20.4 15.1 198 0.722 426 0.493 239 0.381 0.521 0.556 14.7 7.8 2.3 1.1 1.1 2.1 22.4 17 24.7 8 106.6 110 108
"Aaron Gordon" Den F 29.6 51 28.4 19 12.8 179 0.81 325 0.582 172 0.436 0.607 0.65 14.7 4.8 3.2 0.5 0.3 1.4 19.5 17.9 22.7 8.6 128.4 115.2 109
"Josh Giddey" Chi G 22.5 70 30.2 21.7 20.2 224 0.781 520 0.512 278 0.378 0.531 0.57 14.6 8.1 7.2 1.2 0.6 2.9 22.7 21.8 29.9 12.6 115.2 111.5 110
"Jakob Poeltl" Tor C 29.5 57 29.6 18.7 16.1 144 0.674 576 0.628 3 0.333 0.628 0.641 14.5 9.6 2.8 1.2 1.2 1.9 24.1 17.2 26.8 9.9 121.1 104.9 112
"Gradey Dick" Tor G-F 21.4 54 29.4 21 11.4 155 0.858 321 0.47 326 0.35 0.498 0.543 14.4 3.6 1.8 0.9 0.2 1.5 18 16.2 19.8 6.2 106.5 112.7 113
"Deandre Ayton" Por C 26.7 40 30.1 19.4 12.8 60 0.667 436 0.594 32 0.188 0.573 0.583 14.4 10.2 1.6 0.8 1 1.7 24.6 16 26.2 8.2 113.8 108.3 114
"Jerami Grant" Por F 31.1 47 32.4 19.4 10.2 166 0.849 278 0.381 296 0.365 0.467 0.523 14.4 3.5 2.1 0.9 1 1.4 17.9 16.6 20 5.8 109 113.2 115
"Payton Pritchard" Bos G 27.2 80 28.4 19.1 8.8 84 0.845 240 0.642 626 0.407 0.62 0.633 14.3 3.8 3.5 0.9 0.2 1.1 18.1 17.8 21.6 8.1 130.3 110.6 116
"Naz Reid" Min C-F 25.6 80 27.5 21.5 10.5 143 0.776 461 0.544 462 0.379 0.556 0.577 14.2 6 2.3 0.7 0.9 1.4 20.2 16.5 22.5 8.4 114.6 104.9 118
"Amen Thompson" Hou G-F 22.2 69 32.3 17.4 16.5 247 0.684 606 0.599 91 0.275 0.575 0.602 14.1 8.2 3.8 1.4 1.3 2 22.2 17.9 26.1 9.4 121.3 105.2 119
