NAME	POS	EST. RETURN DATE	STATUS	COMMENT
Paul George	F	Oct 1	Out	Mar 17: George received injections in his left adductor muscle and left knee Monday and has been ruled out for the remainder of the season, Shams Charania of ESPN reports.
Eric Gordon	SG	Oct 1	Out	Feb 27: The 76ers announced Thursday that Gordon (wrist) will be re-evaluated in three months after undergoing successful surgery Wednesday, Keith Pompey of The Philadelphia Inquirer reports.
Jared McCain	G	Oct 1	Out	Jan 9: McCain was reviewed Thursday by the surgeon who performed surgery on his left knee and is progressing well. The 76ers officially ruled out for the rest of the season, Kyle Neubeck of AllPHLY.com reports.
Nick Richards	C	Oct 1	Out	Apr 13: Richards (elbow) is out for Sunday's game against the Kings.
Devin Booker	SG	Oct 1	Out	Apr 13: Booker is out for Sunday's game against the Kings due to right calf soreness.
Kevin Durant	PF	Oct 1	Out	Apr 11: Head coach Mike Budenholzer said Friday that Durant, who has already been ruled out against the Spurs due to a left ankle sprain, will not play in the Suns' regular-season finale against the Kings on Sunday, Duane Rankin of The Arizona Republic reports.
Shaedon Sharpe	SG	Oct 1	Out	Apr 13: Sharpe (knee) has been ruled out for Sunday's game against the Lakers.
Deni Avdija	SF	Oct 1	Out	Apr 13: Avdija (thumb) has been ruled out for Sunday's game against the Lakers.
Scoot Henderson	G	Oct 1	Out	Apr 13: Henderson (concussion) is out for Sunday's game against the Lakers.
Anfernee Simons	SG	Oct 1	Out	Apr 13: Simons (forearm) is out for Sunday's game against the Lakers.
Deandre Ayton	C	Oct 1	Out	Apr 13: Ayton (calf) is out for Sunday's game against the Lakers.
Jerami Grant	SF	Oct 1	Out	Apr 13: Grant (knee) is out for Sunday's game against the Lakers.
Bryce McGowens	G	Oct 1	Out	Mar 26: McGowens will miss the rest of the regular season after suffering a right rib fracture during Monday's G League game with the Rip City Remix, Sean Highkin of Rip City Radio 620 Portland reports.
Robert Williams III	C	Oct 1	Out	Mar 20: Williams underwent an arthroscopic procedure Thursday to address inflammation in his left knee and will miss 4-6 weeks.
Jake LaRavia	F	Oct 1	Out	Apr 15: LaRavia (thumb) won't play in Wednesday's Play-In Game against the Mavericks.
Malik Monk	SG	Oct 1	Out	Apr 9: Monk Shams Charania of ESPN for a strained left calf injury in two weeks, Shams Charania reports.
Devin Vassell	SG	Oct 1	Out	Apr 12: Vassell (ankle) is out for Sunday's game against the Raptors.
Jeremy Sochan	F	Oct 1	Out	Apr 12: Sochan (back) is out for Sunday's game against the Raptors.
Victor Wembanyama	C	Oct 1	Out	Mar 27: Head coach of the French National team, Frederic Fauthoux, said Thursday that Wembanyama underwent surgery on the deep vein thrombosis in his right shoulder and is feeling fine, Jeff Garcia of KENS 5 San Antonio reports.
De'Aaron Fox	PG	Oct 1	Out	Mar 13: Fox will undergo season-ending surgery to repair tendon damage in his left pinkie finger Tuesday, Shams Charania of ESPN reports.
Riley Minix	F	Jul 1	Out	Jan 15: Minix will miss the remainder of the season with a torn labrum in his left shoulder, Michael C. Wright of ESPN.com reports.
Garrett Temple	SF	Oct 1	Out	Apr 23: Temple has been ruled out for the rest of Sunday's game against the Spurs due to a left knee sprain, Blake Murphy of Sportsnet.ca reports.
Jared Rhoden	G	Oct 1	Out	Apr 22: Rhoden underwent surgery this week to repair a torn labrum in his right shoulder and will face a 4-to-6-month recovery, Josh Lewenberg of TSN.ca reports.
Ulrich Chomche	C	Jul 1	Out	Apr 15: Head coach Darko Rajakovic anticipates watching Chomche (knee) play in the Las Vegas Summer League in July, Esfandiar Baraheni of The Athletic reports.
Chris Boucher	PF	Oct 1	Out	Apr 13: Boucher (illness) has been ruled out for Sunday's game against the Spurs, Blake Murphy of Sportsnet.ca reports.
Ja'Kobe Walter	G	Oct 1	Out	Apr 12: Walter (hip) is out for Sunday's game against the Spurs, Blake Murphy of Sportsnet.ca reports.
