Player,Height,Height_catgrand,Height_catmoyen,Height_catpetit
Jonas Valančiūnas,210,1,0,0
Jonathan Isaac,208,1,0,0
Jonathan Kuminga,200,0,1,0
Jonathan Mogbo,205,1,0,0
Jordan Clarkson,190,0,0,1
Jordan Goodwin,195,0,1,0
Jordan Hawkins,195,0,1,0
Jordan McLaughlin,182,0,0,1
Jordan Miller,195,0,1,0
Jordan Poole,193,0,1,0
Jordan Walsh,198,0,1,0
Jose Alvarado,182,0,0,1
Josh Christopher,193,0,1,0
Josh Giddey,203,1,0,0
Josh Green,195,0,1,0
Josh Hart,193,0,1,0
Josh Minott,203,1,0,0
Josh Okogie,193,0,1,0
Josh Richardson,195,0,1,0
Jrue Holiday,193,0,1,0
JT Thor,205,1,0,0
Julian Champagnie,200,0,1,0
Julian Phillips,203,1,0,0
Julian Strawther,198,0,1,0
Julius Randle,205,1,0,0
Justin Champagnie,198,0,1,0
Justin Edwards,200,0,1,0
Justin Minaya,195,0,1,0
Jusuf Nurkić,213,1,0,0
Kai Jones,210,1,0,0
Karl-Anthony Towns,213,1,0,0
Karlo Matković,208,1,0,0
Kawhi Leonard,200,0,1,0
Keaton Wallace,190,0,0,1
Keegan Murray,203,1,0,0
Keion Brooks Jr.,200,0,1,0
Kel'el Ware,213,1,0,0
Keldon Johnson,195,0,1,0
Kelly Olynyk,210,1,0,0
Kelly Oubre Jr.,203,1,0,0
Kenrich Williams,198,0,1,0
Kentavious Caldwell-Pope,195,0,1,0
Keon Ellis,193,0,1,0
Keon Johnson,195,0,1,0
Keshad Johnson,200,0,1,0
Kessler Edwards,200,0,1,0
Kevin Durant,210,1,0,0
Kevin Huerter,200,0,1,0
Kevin Knox II,203,1,0,0
Kevin Love,203,1,0,0
Kevin McCullar Jr.,198,0,1,0
Kevin Porter Jr.,193,0,1,0
Kevon Looney,205,1,0,0
Keyonte George,193,0,1,0
Khris Middleton,200,0,1,0
Killian Hayes,195,0,1,0
KJ Martin,198,0,1,0
KJ Simpson,182,0,0,1
Klay Thompson,195,0,1,0
Kobe Brown,200,0,1,0
Kobe Bufkin,193,0,1,0
Kris Dunn,190,0,0,1
Kris Murray,203,1,0,0
Kristaps Porziņģis,218,1,0,0
Kyle Anderson,205,1,0,0
Kyle Filipowski,210,1,0,0
Kyle Kuzma,205,1,0,0
Kyle Lowry,182,0,0,1
Kylor Kelley,213,1,0,0
Kyrie Irving,187,0,0,1
Kyshawn George,203,1,0,0
Lamar Stevens,200,0,1,0
LaMelo Ball,200,0,1,0
Landry Shamet,193,0,1,0
Larry Nance Jr.,203,1,0,0
Lauri Markkanen,213,1,0,0
LeBron James,205,1,0,0
Leonard Miller,208,1,0,0
Lester Quinones,193,0,1,0
Liam Robbins,213,1,0,0
Lindy Waters III,198,0,1,0
Lonnie Walker IV,193,0,1,0
Lonzo Ball,198,0,1,0
Luguentz Dort,193,0,1,0
Luka Dončić,198,0,1,0
Luka Garza,208,1,0,0
Luke Kennard,195,0,1,0
Luke Kornet,215,1,0,0
Luke Travers,200,0,1,0
Mac McClung,187,0,0,1
Malachi Flynn,185,0,0,1
Malaki Branham,193,0,1,0
Malcolm Brogdon,193,0,1,0
Malevy Leons,205,1,0,0
Malik Beasley,193,0,1,0
Malik Monk,190,0,0,1
Marcus Bagley,198,0,1,0
Marcus Garrett,195,0,1,0
Marcus Sasser,187,0,0,1
Marcus Smart,190,0,0,1
MarJon Beauchamp,200,0,1,0
Mark Williams,213,1,0,0
Markelle Fultz,193,0,1,0
Markieff Morris,205,1,0,0
Marvin Bagley III,208,1,0,0
Mason Jones,193,0,1,0
Mason Plumlee,208,1,0,0
Matas Buzelis,208,1,0,0
Matisse Thybulle,195,0,1,0
Matt Ryan,198,0,1,0
Max Christie,195,0,1,0
Max Strus,195,0,1,0
Maxi Kleber,208,1,0,0
Maxwell Lewis,200,0,1,0
Micah Potter,205,1,0,0
Michael Porter Jr.,208,1,0,0
Mikal Bridges,198,0,1,0
Mike Conley,182,0,0,1
Miles Bridges,200,0,1,0
Miles McBride,185,0,0,1
Miles Norris,200,0,1,0
Mitchell Robinson,213,1,0,0
Mo Bamba,213,1,0,0
Monté Morris,187,0,0,1
Moritz Wagner,210,1,0,0
Moses Brown,218,1,0,0
Moses Moody,195,0,1,0
Mouhamed Gueye,208,1,0,0
Moussa Diabaté,205,1,0,0
Myles Turner,210,1,0,0
N'Faly Dante,210,1,0,0
Nae'Qwan Tomlin,208,1,0,0
Naji Marshall,198,0,1,0
Nate Williams,195,0,1,0
Naz Reid,205,1,0,0
Neemias Queta,213,1,0,0
Nic Claxton,210,1,0,0
Nick Richards,213,1,0,0
Nick Smith Jr.,187,0,0,1
Nickeil Alexander-Walker,195,0,1,0
Nicolas Batum,203,1,0,0
Nikola Jokić,210,1,0,0
Nikola Jović,208,1,0,0
Nikola Vučević,208,1,0,0
Noah Clowney,205,1,0,0
Norman Powell,193,0,1,0
Obi Toppin,205,1,0,0
Ochai Agbaji,195,0,1,0
OG Anunoby,200,0,1,0
Olivier-Maxence Prosper,200,0,1,0
Onyeka Okongwu,208,1,0,0
Orlando Robinson,208,1,0,0
Oscar Tshiebwe,203,1,0,0
Oshae Brissett,200,0,1,0
Oso Ighodaro,213,1,0,0
Ousmane Dieng,205,1,0,0
P.J. Tucker,195,0,1,0
P.J. Washington,198,0,1,0
Pacôme Dadiet,203,1,0,0
Paolo Banchero,208,1,0,0
Pascal Siakam,203,1,0,0
Pat Connaughton,195,0,1,0
Pat Spencer,190,0,0,1
Patrick Baldwin Jr.,205,1,0,0
Patrick Williams,200,0,1,0
Patty Mills,187,0,0,1
Paul George,203,1,0,0
Paul Reed,205,1,0,0
Payton Pritchard,185,0,0,1
Pelle Larsson,195,0,1,0
Pete Nance,208,1,0,0
Peyton Watson,200,0,1,0
Phillip Wheeler,203,1,0,0
PJ Dozier,198,0,1,0
PJ Hall,208,1,0,0
Precious Achiuwa,203,1,0,0
Quentin Grimes,193,0,1,0
Quenton Jackson,195,0,1,0
Quincy Olivari,190,0,0,1
Quinten Post,213,1,0,0
Rayan Rupert,198,0,1,0
RayJ Dennis,187,0,0,1
Reece Beekman,190,0,0,1
Reed Sheppard,187,0,0,1
Reggie Jackson,187,0,0,1
Richaun Holmes,205,1,0,0
Ricky Council IV,198,0,1,0
Riley Minix,200,0,1,0
RJ Barrett,198,0,1,0
Rob Dillingham,190,0,0,1
Robert Williams III,205,1,0,0
Ron Harper Jr.,193,0,1,0
Ronald Holland II,203,1,0,0
Royce O'Neale,198,0,1,0
Rudy Gobert,215,1,0,0
Rui Hachimura,203,1,0,0
Russell Westbrook,193,0,1,0
Ryan Dunn,203,1,0,0
Ryan Rollins,190,0,0,1
Sam Hauser,200,0,1,0
Sam Merrill,193,0,1,0
Sandro Mamukelashvili,205,1,0,0
Santi Aldama,213,1,0,0
Scoot Henderson,190,0,0,1
Scottie Barnes,200,0,1,0
Scotty Pippen Jr.,185,0,0,1
Seth Curry,185,0,0,1
Shaedon Sharpe,195,0,1,0
Shai Gilgeous-Alexander,198,0,1,0
Shake Milton,195,0,1,0
Sidy Cissoko,198,0,1,0
Simone Fontecchio,200,0,1,0
Skal Labissiere,208,1,0,0
Spencer Dinwiddie,195,0,1,0
Spencer Jones,200,0,1,0
Stanley Umude,198,0,1,0
Stephen Curry,187,0,0,1
Stephon Castle,198,0,1,0
Steven Adams,210,1,0,0
Svi Mykhailiuk,200,0,1,0
T.J. McConnell,185,0,0,1
Taj Gibson,205,1,0,0
Talen Horton-Tucker,193,0,1,0
Tari Eason,203,1,0,0
Taurean Prince,198,0,1,0
Taylor Hendricks,205,1,0,0
Tazé Moore,195,0,1,0
Terance Mann,195,0,1,0
Terence Davis,193,0,1,0
Terrence Shannon Jr.,198,0,1,0
Terry Rozier,185,0,0,1
Terry Taylor,193,0,1,0
Thomas Bryant,208,1,0,0
Tidjane Salaün,203,1,0,0
Tim Hardaway Jr.,195,0,1,0
Tobias Harris,203,1,0,0
Tolu Smith,210,1,0,0
Tony Bradley,210,1,0,0
Torrey Craig,195,0,1,0
Tosan Evbuomwan,200,0,1,0
Toumani Camara,200,0,1,0
Trae Young,185,0,0,1
Trayce Jackson-Davis,205,1,0,0
Tre Jones,185,0,0,1
Tre Mann,190,0,0,1
Trendon Watford,203,1,0,0
Trentyn Flowers,205,1,0,0
Trevelin Queen,195,0,1,0
Trey Alexander,193,0,1,0
Trey Jemison III,210,1,0,0
Trey Lyles,205,1,0,0
Trey Murphy III,203,1,0,0
Tristan da Silva,203,1,0,0
Tristan Thompson,205,1,0,0
Tristan Vukcevic,213,1,0,0
Tristen Newton,195,0,1,0
Ty Jerome,195,0,1,0
Tyler Herro,195,0,1,0
Tyler Kolek,190,0,0,1
Tyler Smith,205,1,0,0
Tyrese Haliburton,195,0,1,0
Tyrese Martin,198,0,1,0
Tyrese Maxey,187,0,0,1
Tyson Etienne,187,0,0,1
TyTy Washington Jr.,190,0,0,1
Tyus Jones,185,0,0,1
Ulrich Chomche,210,1,0,0
Vasilije Micić,190,0,0,1
Victor Wembanyama,220,1,0,0
Vince Williams Jr.,193,0,1,0
Vít Krejčí,203,1,0,0
Vlatko Čančar,203,1,0,0
Walker Kessler,213,1,0,0
Wendell Carter Jr.,208,1,0,0
Wendell Moore Jr.,195,0,1,0
Xavier Tillman,200,0,1,0
Yuki Kawamura,172,0,0,1
Yuri Collins,182,0,0,1
Yves Missi,210,1,0,0
Zaccharie Risacher,203,1,0,0
Zach Collins,210,1,0,0
Zach Edey,223,1,0,0
Zach LaVine,195,0,1,0
Zeke Nnaji,205,1,0,0
Ziaire Williams,205,1,0,0
Zion Williamson,198,0,1,0
Zyon Pullin,193,0,1,0
