Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
Devin Booker,PHX,Kentucky,USA,2015,1,13,75,25.6,4.1,7.1,-3.2,35,40,37.3,8.7,18.9,2.4,7.3,5.8,6.4,1,3.1,2.9,0.9,0.2,2.6,16,0,-2.4,1.49,1.16,4.33,3.65,1.5,0.8,0.03,1.9,1.5,10,0,0,0,0,2,0,1,16,2,5,4,blessure bas,joueur expérimenté,moyen,moyen
Devin Carter,SAC,Providence,USA,2024,1,13,36,3.8,2.1,1.1,3.9,18,18,11,1.3,3.5,0.5,1.7,0.7,1.2,0.5,1.6,0.5,0.6,0.1,1.1,0,0,1.2,0.48,0.43,4.59,4.55,1.1,0.3,0.06,0.8,0.9,0,0,0,0,0,0,0,0,3,1,2,0,Non blessé,joueur mature,petit,léger
Devin Vassell,SAS,Florida State,USA,2020,1,11,64,16.3,4,2.9,-6.2,24,40,31,6.2,13.9,2.5,6.7,1.5,1.9,0.5,3.5,1.4,1.3,0.5,1.7,2,0,-4.1,1.28,1.09,4.68,3.91,2.2,0.6,0,1.9,1.4,7,0,0,0,0,2,0,0,7,0,3,2,blessure bas,joueur mature,moyen,léger
Dillon Brooks,HOU,Oregon,Canada,2017,2,45,75,14,3.7,1.7,4.7,49,26,31.8,5.1,11.9,2.5,6.3,1.3,1.6,1,2.7,1,0.8,0.2,3.2,0,0,2.8,1.17,1.12,4.06,3.98,1.9,0.3,0.05,2.1,1.7,5,0,0,0,0,1,0,0,16,0,9,3,Non blessé,joueur expérimenté,moyen,moyen
Dillon Jones,OKC,Weber State,USA,2024,1,26,54,2.5,2.2,1.1,6,45,9,10.2,0.9,2.5,0.3,1.2,0.3,0.5,0.6,1.7,0.5,0.3,0.1,1,1,0,1.4,0.42,0.36,4.59,3.99,1,0.3,0,0.7,0.6,1,0,0,0,0,0,0,0,2,3,0,0,Non blessé,joueur mature,moyen,lourd
Domantas Sabonis,SAC,Gonzaga,Lithuania,2016,1,11,70,19.1,13.9,6,2.6,36,34,34.7,7.5,12.8,0.9,2.2,3.1,4.1,3.8,10.1,2.9,0.7,0.4,3.3,61,10,2.1,1.36,1.23,4.51,3.92,1.8,0.7,0,5.6,1.7,8,1,0,2,0,1,1,0,42,2,6,3,Non blessé,joueur expérimenté,grand,lourd
Dominick Barlow,ATL,None,USA,Undrafted,Undrafted,Undrafted,35,4.2,2.4,0.5,-1.6,13,22,10.7,1.7,3.2,0.2,0.8,0.6,0.9,1,1.4,0.1,0.3,0.5,1.3,1,0,-0.1,0.46,0.42,5.08,4.12,0.9,0.3,0,2.9,1.1,1,0,0,0,0,0,0,0,1,2,0,2,Non blessé,jeune joueur,grand,moyen
Donovan Clingan,POR,Connecticut,USA,2024,1,7,67,6.5,7.9,1.1,0.2,29,38,19.8,2.7,5,0.2,0.7,0.9,1.6,3.2,4.6,1.1,0.5,1.6,2.8,8,0,0,0.77,0.7,4.45,3.95,1.1,0.2,0,7.3,2.4,3,0,0,1,0,1,0,0,24,4,0,1,Non blessé,jeune joueur,grand,lourd
Donovan Mitchell,CLE,Louisville,USA,2017,1,13,71,24,4.5,5,10.5,55,16,31.4,8.2,18.6,3.3,8.9,4.2,5.1,0.8,3.7,2.1,1.3,0.2,2,6,0,7.4,1.22,1.04,4.58,3.51,2.4,0.8,0.04,1.2,1.6,7,0,0,0,1,2,0,0,8,3,3,2,Non blessé,joueur expérimenté,petit,moyen
Donte DiVincenzo,MIN,Villanova,USA,2018,1,17,62,11.7,3.7,3.6,5.1,37,25,25.9,4,9.6,2.8,7.1,0.8,1,0.5,3.2,1.6,1.2,0.3,1.8,1,0,2.8,1.06,0.92,4.64,3.89,2.5,0.6,0.03,1.3,1.4,1,0,0,0,0,0,0,0,5,0,3,2,Non blessé,joueur expérimenté,moyen,léger
Dorian Finney-Smith,LAL,Florida,USA,Undrafted,Undrafted,Undrafted,63,8.7,3.9,1.4,8.8,36,27,28.9,3.1,6.9,2,5,0.5,0.7,1.3,2.7,0.9,0.9,0.4,2.2,0,0,4.9,1.14,1.01,4.32,4.02,1.6,0.4,0.02,2.9,1.6,7,0,0,0,0,0,0,0,5,1,1,3,Non blessé,joueur vétéran,moyen,moyen
Doug McDermott,SAC,Creighton,USA,2014,1,11,42,3.5,0.5,0.2,1.6,21,21,8.1,1.2,2.8,1,2.4,0.1,0.1,0.1,0.5,0.1,0.1,0,0.7,0,0,0.6,0.35,0.3,4.97,4.04,0.3,0,0,0.9,0.9,0,0,0,0,0,0,0,0,2,0,0,1,Non blessé,joueur vétéran,moyen,moyen
Draymond Green,GSW,Michigan State,USA,2012,2,35,68,9,6.1,5.6,6.6,42,26,29.2,3.2,7.5,1.2,3.6,1.5,2.2,1.1,5,2.6,1.5,1,3.2,6,1,4,1.09,0.95,4.26,3.57,2.6,0.7,0.21,5.5,3.6,1,0,0,0,0,0,0,0,19,3,1,4,Non blessé,joueur vétéran,moyen,moyen
Drew Eubanks,LAC,Oregon State,USA,Undrafted,Undrafted,Undrafted,61,4.6,3.7,0.9,-8.1,25,36,12.2,1.9,3.2,0,0.1,0.8,1.2,1,2.7,0.7,0.2,0.6,1,0,0,-2.1,0.52,0.44,4.59,4.14,0.7,0.2,0.02,2.6,1,3,0,0,0,0,0,0,0,7,0,0,0,Non blessé,joueur expérimenté,grand,lourd
Drew Peterson,BOS,Southern California,USA,Undrafted,Undrafted,Undrafted,25,2.2,1.6,0.5,12.8,17,8,7.4,0.7,1.6,0.5,1.3,0.3,0.4,0.4,1.2,0.3,0.2,0.1,0.7,0,0,1.8,0.31,0.26,4.28,4.08,0.9,0.2,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,grand,léger
