Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
Austin Reaves,LAL,Oklahoma,USA,Undrafted,Undrafted,Undrafted,73,20.2,4.5,5.8,3.8,46,27,34.9,6.5,14.2,2.7,7.3,4.4,5,0.8,3.7,2.4,1.1,0.3,2.1,9,1,2.7,1.43,1.14,4.51,3.74,1.9,0.7,0.3,2.5,2.1,4,1,1,0,0,3,0,0,6,0,3,6,Non blessé,joueur expérimenté,moyen,léger
Ayo Dosunmu,CHI,Illinois,USA,2021,2,38,46,12.3,3.5,4.5,-7.7,17,29,30.3,4.8,9.8,1.3,4.1,1.3,1.7,0.6,2.9,1.5,0.9,0.4,2.3,1,1,-5.1,1.25,1.11,4.79,3.97,1.5,0.7,0,2.4,1.8,4,0,0,0,0,2,0,0,2,0,2,2,blessure haut,joueur mature,moyen,léger
Bam Adebayo,MIA,Kentucky,USA,2017,1,14,78,18.1,9.6,4.3,0.1,36,42,34.3,6.9,14.3,1,2.8,3.2,4.2,2.4,7.2,2.1,1.3,0.7,2.1,38,1,0.3,1.27,1.13,4.12,3.75,3,0.7,0,4,1.7,8,0,1,1,0,3,3,0,23,3,4,17,Non blessé,joueur expérimenté,grand,lourd
Baylor Scheierman,BOS,Creighton,USA,2024,1,30,31,3.6,2.1,1.1,4.1,27,4,12.4,1.3,3.5,0.8,2.6,0.3,0.4,0.6,1.5,0.4,0.5,0.1,0.7,0,0,0.9,0.49,0.43,4.28,4,1.5,0.1,0.04,0.8,0.8,2,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,léger
Ben Sheppard,IND,Belmont,USA,2023,1,26,63,5.3,2.8,1.3,-2.2,40,23,19.5,1.9,4.6,1.1,3.2,0.4,0.4,0.7,2.1,0.3,0.6,0.2,2,0,0,-0.9,0.84,0.81,4.85,4.6,1.2,0.5,0,1.5,1.1,0,0,0,0,0,0,0,0,1,0,0,2,Non blessé,joueur mature,moyen,léger
Ben Simmons,LAC,Louisiana State,Australia,2016,1,1,51,5,4.7,5.6,-1.8,26,25,22,2.3,4.4,0,0,0.5,0.6,0.9,3.8,2,0.7,0.5,2.1,1,0,-1.1,0.85,0.72,4.27,3.71,2.1,0.4,0.08,1.5,1.5,3,0,1,0,0,3,0,0,12,0,2,9,Non blessé,joueur expérimenté,grand,lourd
Bennedict Mathurin,IND,Arizona,Canada,2022,1,6,72,16.1,5.3,1.9,1.6,43,29,29.9,5.4,11.8,1.4,4,3.8,4.6,1.2,4.1,1.9,0.7,0.3,2.3,8,0,1.3,1.18,1.11,4.57,4.04,1.3,0.6,0,1.4,1.7,5,0,1,0,0,2,0,0,19,1,7,1,Non blessé,jeune joueur,moyen,moyen
Bilal Coulibaly,WAS,None,France,2023,1,7,59,12.3,5,3.4,-13.8,13,46,33,4.5,10.6,1.1,3.8,2.3,3.1,1.5,3.4,2.1,1.3,0.7,2.4,3,1,-9.9,1.35,1.22,4.65,4.12,2.6,0.9,0.02,2.4,2,4,0,0,0,0,1,0,1,7,0,3,3,blessure bas,jeune joueur,grand,léger
Bismack Biyombo,SAS,None,DRC,2011,1,7,28,5.1,5.6,1.1,-9.2,10,18,18.8,2.4,4.1,0,0,0.4,0.9,1.5,4.1,1,0.6,0.8,1.9,3,0,-3.6,0.73,0.65,4.39,3.94,1.1,0.5,0,4.9,0.7,2,0,0,1,0,0,0,0,8,1,0,3,Non blessé,joueur vétéran,grand,lourd
Blake Wesley,SAS,Notre Dame,USA,2022,1,25,58,3.7,1.1,2,0.5,23,35,11.8,1.4,3.2,0.3,1,0.7,1.1,0.3,0.8,0.9,0.6,0.1,0.8,0,0,-0.2,0.49,0.47,4.85,4.33,1.4,0.3,0,0.6,0.7,2,0,0,0,0,0,0,0,0,0,0,1,Non blessé,jeune joueur,petit,léger
Bobby Portis,MIL,Arkansas,USA,2015,1,22,49,13.9,8.4,2.1,3.4,30,19,25.4,5.7,12.1,1.3,3.6,1.2,1.5,1.8,6.6,1.2,0.7,0.5,1.9,11,0,1.9,1.02,0.91,4.51,4.01,1.6,0.4,0,3.7,2.6,7,0,0,0,0,0,1,0,8,1,1,1,Non blessé,joueur expérimenté,grand,lourd
Bobi Klintman,DET,None,Sweden,2024,2,37,8,1.9,0.9,0.9,4.2,4,4,5.3,0.8,1.3,0.3,0.6,0.1,0.3,0.1,0.8,0.1,0.3,0.1,1,0,0,0,0.23,0.19,4.59,3.83,0.4,0.2,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,jeune joueur,grand,moyen
Bogdan Bogdanović,LAC,None,Serbia,2014,1,27,54,10.8,2.9,2.7,2.7,33,21,25,3.9,9.1,1.9,5.4,1.1,1.2,0.4,2.5,1.4,0.8,0.2,2.4,1,0,2,1.04,0.88,4.71,3.92,1.8,0.3,0,1.8,2.2,5,0,0,0,0,0,0,1,10,1,2,1,Non blessé,joueur vétéran,moyen,moyen
Bol Bol,PHX,Oregon,Sudan,2019,2,44,36,6.8,2.9,0.6,-3.9,10,26,12.5,2.7,5.1,0.9,2.6,0.6,0.7,0.6,2.3,0.6,0.3,0.7,0.6,1,0,-1,0.52,0.45,4.59,4.23,0.4,0.3,0,1.6,2.3,3,0,0,0,0,0,0,0,0,0,0,1,Non blessé,joueur mature,grand,moyen
Bones Hyland,MIN,Virginia Commonwealth,USA,2021,1,26,24,6.2,1,1.3,-6.1,11,13,9.9,2,4.9,1.3,3.4,1,1.1,0.2,0.8,1,0.8,0.2,1.2,0,0,-1.3,0.4,0.33,4.44,3.79,1.2,0.2,0,0.4,0.6,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,petit,léger
Bradley Beal,PHX,Florida,USA,2012,1,3,53,17,3.3,3.7,-8,22,31,32.1,6.5,13.1,1.9,5,2.1,2.6,0.6,2.7,1.9,1.1,0.5,2.6,1,0,-5.2,1.29,1.1,4.32,3.98,2.5,0.7,0.06,2.2,2.5,5,0,0,0,0,0,0,0,3,0,1,1,Non blessé,joueur vétéran,moyen,moyen
Branden Carlson,OKC,Utah,USA,Undrafted,Undrafted,Undrafted,32,3.8,1.7,0.4,9.4,29,3,7.7,1.3,3,0.7,2.1,0.4,0.6,0.5,1.2,0.2,0.2,0.7,0.7,1,0,1.3,0.33,0.28,4.71,4.07,0.3,0.3,0,2.5,1.1,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,grand,moyen
Brandin Podziemski,GSW,Santa Clara,USA,2023,1,19,64,11.7,5.1,3.4,6.6,38,26,26.8,4.4,9.8,1.8,4.8,1.1,1.5,1,4.1,1.2,1.1,0.2,1.5,2,0,4.1,1.18,0.98,4.85,4.12,2.1,0.7,0.32,1.4,1.3,8,0,0,0,0,1,0,0,4,1,0,4,Non blessé,jeune joueur,moyen,léger
Brandon Boston,NOP,Kentucky,USA,2021,2,51,42,10.7,3.2,2.2,-6.2,8,34,23.6,4,9.1,1.2,3.3,1.6,2,0.7,2.5,1.2,1.3,0.2,1.7,0,0,-3.3,0.95,0.86,4.43,4.16,2.1,0.3,0.02,1.2,1.3,2,0,0,0,0,0,0,0,5,1,1,2,blessure bas,joueur mature,moyen,léger
Brandon Clarke,MEM,Gonzaga,Canada,2019,1,21,64,8.3,5.1,1,8.2,40,24,18.9,3.7,5.9,0,0.3,1,1.4,2,3.1,0.6,0.8,0.6,2.3,2,0,2.8,0.79,0.73,4.92,4.17,1.6,0.5,0.05,3,1.8,1,0,0,1,1,0,1,0,8,0,2,1,blessure bas,joueur expérimenté,grand,moyen
Brandon Ingram,TOR,Duke,USA,2016,1,2,18,22.2,5.6,5.2,-10.7,5,13,33.1,8.6,18.5,2.4,6.4,2.6,3.1,0.9,4.6,3.8,0.9,0.6,2.5,0,0,-7.1,1.34,1.03,4.34,3.67,1.1,0.5,0,2.2,1.4,0,0,0,1,0,0,0,0,13,0,6,0,blessure bas,joueur expérimenté,grand,léger
Brandon Miller,CHA,Alabama,USA,2023,1,2,27,21,4.9,3.6,-6.8,8,19,34.2,7.3,18.2,3.9,10.9,2.5,2.9,0.9,3.9,2.8,1.1,0.7,2.7,2,0,-4.6,1.44,1.13,4.6,3.74,2.3,0.5,0.07,2.4,2.6,2,2,0,0,0,1,0,0,12,0,0,2,Non blessé,jeune joueur,moyen,léger
Brandon Williams,DAL,Arizona,USA,Undrafted,Undrafted,Undrafted,33,8.3,1.8,2.3,0.7,15,18,14.8,3,5.7,0.7,1.8,1.7,2,0.4,1.4,1.2,0.7,0.2,1,0,0,0.3,0.63,0.56,4.82,4.21,1.9,0.7,0,1.6,0.9,0,0,0,0,1,0,0,0,1,0,0,1,Non blessé,joueur mature,petit,léger
Braxton Key,GSW,Virginia,USA,Undrafted,Undrafted,Undrafted,3,1,0.7,0,-30.7,3,0,3.6,0,1.3,0,0.3,1,2,0.3,0.3,0.3,0.7,0,0,0,0,-2.7,0.17,0.13,4.49,4.69,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,grand,moyen
Brice Sensabaugh,UTA,Ohio State,USA,2023,1,28,71,10.9,3,1.5,-9.6,14,57,20.2,3.9,8.4,2.2,5.2,0.9,1,0.6,2.4,1.5,0.6,0.1,1.6,0,0,-4,0.79,0.7,4.25,3.99,1.2,0.4,0.01,1.1,1.3,5,0,1,0,0,1,0,1,7,1,3,1,Non blessé,jeune joueur,moyen,lourd
Bronny James,LAL,Southern California,USA,2024,2,55,27,2.3,0.7,0.8,-18.6,17,10,6.7,0.8,2.5,0.3,1.2,0.4,0.5,0.1,0.5,0.5,0.3,0.1,0.5,0,0,-2.6,0.29,0.22,4.48,3.9,0.9,0.2,0,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,jeune joueur,petit,moyen
Brook Lopez,MIL,Stanford,USA,2008,1,10,80,13,5,1.8,2.2,47,33,31.8,4.9,9.7,1.7,4.7,1.4,1.7,1.4,3.6,1.1,0.6,1.9,2.1,4,0,1.7,1.13,1.05,3.99,3.78,1.4,0.2,0,11.3,2.4,3,0,0,5,0,0,0,0,33,11,1,5,Non blessé,joueur vétéran,grand,lourd
Bruce Brown,NOP,Miami,USA,2018,2,42,41,8.3,4,2,-11.9,15,26,22.5,3.2,7.5,0.7,2,1.3,1.6,1,3,1,0.8,0.2,1.7,0,0,-5.5,0.91,0.78,4.55,3.84,1.7,0.4,0,0.9,1.3,0,0,0,1,0,0,0,0,1,0,0,1,blessure bas,joueur expérimenté,moyen,léger
Bruno Fernando,TOR,Maryland,Angola,2019,2,34,17,3.4,3,1.1,-6.1,2,15,8.6,1.5,2.9,0,0,0.4,0.5,1.2,1.8,0.8,0.2,0.5,1.6,0,0,-1.3,0.33,0.31,4.31,3.93,0.6,0.2,0,1.9,1.3,3,0,0,0,1,0,0,0,3,0,0,1,Non blessé,joueur expérimenté,grand,lourd
Bryce McGowens,POR,Nebraska,USA,2022,2,40,13,1,0.2,0.2,-7.2,8,5,2.5,0.3,1.1,0,0.3,0.4,0.5,0.2,0.1,0.3,0.1,0,0.2,0,0,-0.3,0.1,0.1,4.34,4.21,0.2,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,blessure haut,jeune joueur,moyen,léger
Bub Carrington,WAS,Pittsburgh,USA,2024,1,14,82,9.8,4.2,4.4,-15.2,18,64,30,3.7,9.1,1.7,5,0.8,1,0.4,3.8,1.7,0.7,0.3,2.3,5,0,-9.7,1.27,1.1,4.77,4.1,1.4,0.5,0.02,1.7,1.7,8,0,0,0,0,0,0,1,9,3,2,1,Non blessé,jeune joueur,moyen,léger
Buddy Hield,GSW,Oklahoma,Bahamas,2016,1,6,82,11.1,3.2,1.6,2.2,48,34,22.7,4,9.6,2.5,6.7,0.6,0.8,0.6,2.6,1.1,0.8,0.3,1.6,0,0,1.7,1.04,0.86,5.07,4.26,1.7,0.4,0,2,1.6,4,0,0,0,0,1,0,0,9,0,2,0,Non blessé,joueur vétéran,moyen,moyen
Cade Cunningham,DET,Oklahoma State,USA,2021,1,1,70,26.1,6.1,9.1,2.8,38,32,35,9.8,20.8,2.1,6,4.5,5.3,0.8,5.3,4.4,1,0.8,2.8,31,9,2.5,1.5,1.17,4.87,3.73,2.1,0.7,0.03,3,2.7,6,2,1,0,0,2,0,2,15,1,3,2,Non blessé,joueur mature,moyen,moyen
Caleb Houstan,ORL,Michigan,Canada,2022,2,32,58,4.1,1.3,0.6,-4.1,29,29,13.6,1.4,3.3,1.1,2.8,0.3,0.3,0.3,1,0.2,0.4,0.1,1.1,0,0,-1.1,0.61,0.49,4.86,4.1,0.7,0.2,0,1.3,0.7,1,0,0,0,0,0,0,0,1,0,0,0,Non blessé,jeune joueur,grand,léger
Caleb Martin,DAL,Nevada,USA,Undrafted,Undrafted,Undrafted,45,7.9,3.9,2.1,-6.3,17,28,27.1,2.9,6.8,0.8,2.3,1.4,2.2,1.2,2.8,1.2,1,0.5,1.9,1,0,-3.4,1.17,1,4.74,4.15,1.9,0.6,0.09,1.9,1.6,3,0,0,0,0,1,0,2,7,0,3,4,Non blessé,joueur expérimenté,moyen,léger
Cam Christie,LAC,Minnesota,USA,2024,2,46,13,1.4,0.9,0.5,-7.9,10,3,4.5,0.5,1.8,0.2,1,0.2,0.3,0.2,0.7,0.2,0.4,0.1,0.3,0,0,-0.8,0.19,0.16,4.53,3.98,0.8,0.2,0,0.6,0.2,0,1,0,0,0,0,0,0,0,0,0,0,Non blessé,jeune joueur,moyen,léger
Cam Reddish,LAL,Duke,USA,2019,1,10,33,3.2,2,0.7,-8.4,15,18,17.9,1.2,2.8,0.4,1.4,0.5,0.8,0.5,1.5,0.4,1,0.3,1.3,0,0,-2.8,0.66,0.7,4.03,4.47,2.2,0.6,0,0.7,1.2,0,0,0,0,0,0,0,0,2,0,1,0,Non blessé,joueur mature,moyen,moyen
Cam Spencer,MEM,Connecticut,USA,2024,2,53,25,4.2,1.2,1.4,6.8,14,11,10.1,1.4,3.3,0.8,2.1,0.8,0.8,0.5,0.7,0.2,0.4,0,0.9,0,0,1.6,0.47,0.4,5.17,4.36,0.8,0.3,0.06,0.4,0.7,1,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,léger
Cam Thomas,BKN,Louisiana State,Japan,2021,1,27,25,24,3.3,3.8,-5.7,8,17,31.2,8,18.2,2.7,7.8,5.3,6,0.6,2.7,2.5,0.6,0.1,1.8,1,0,-3.7,1.27,1.08,4.39,3.98,0.9,0.5,0,2.1,1.7,6,0,1,0,0,0,0,0,6,0,1,0,blessure bas,joueur mature,petit,moyen
Cam Whitmore,HOU,Villanova,USA,2023,1,20,51,9.4,3,1,1.1,30,21,16.2,3.5,7.9,1.3,3.6,1.1,1.4,0.7,2.3,0.9,0.6,0.3,0.9,2,0,0,0.63,0.54,4.24,3.79,1.3,0.5,0,1,0.8,4,0,0,0,0,0,0,0,5,0,5,1,Non blessé,jeune joueur,moyen,moyen
Cameron Johnson,BKN,North Carolina,USA,2019,1,11,57,18.8,4.3,3.4,-5.8,21,36,31.6,6.2,13.1,2.8,7.2,3.5,3.9,0.9,3.4,1.7,0.9,0.4,1.8,2,0,-3.5,1.35,1.07,4.6,3.92,1.7,0.6,0.05,2,2.2,1,0,0,0,0,0,0,1,5,0,3,1,blessure haut,joueur expérimenté,grand,moyen
Cameron Payne,NYK,Murray State,USA,2015,1,14,72,6.9,1.4,2.8,9.1,46,26,15.1,2.5,6.2,1.3,3.6,0.7,0.8,0.2,1.3,0.7,0.5,0.2,1.5,0,0,2.8,0.63,0.51,4.69,3.82,1.6,0.2,0.18,0.8,0.7,0,0,0,0,0,0,0,2,4,0,0,1,Non blessé,joueur expérimenté,petit,léger
Caris LeVert,ATL,Michigan,USA,2016,1,20,64,12.1,3.2,3.4,7.2,46,18,24.9,4.4,9.4,1.7,4.4,1.7,2.4,0.6,2.5,1.2,0.9,0.5,1.5,1,0,4,1.05,0.9,4.83,3.88,2.3,0.6,0,1.9,1.7,1,0,0,0,0,0,0,0,2,0,1,2,Non blessé,joueur expérimenté,moyen,léger
Cason Wallace,OKC,Kentucky,USA,2023,1,10,68,8.4,3.4,2.5,10.1,55,13,27.6,3.4,7.2,1.1,3.1,0.4,0.5,1,2.3,0.9,1.8,0.5,2.1,0,0,5.4,1.07,1.06,4.52,4.18,3.6,0.9,0,1.8,2.9,2,0,0,0,0,2,1,0,3,0,1,3,Non blessé,jeune joueur,petit,léger
Charles Bassey,SAS,Western Kentucky,Nigeria,2021,2,53,36,4.4,4.2,0.5,-15.9,14,22,10.4,1.9,3.3,0,0,0.6,0.9,1.6,2.7,0.6,0.4,0.8,1.4,2,0,-3.6,0.43,0.38,4.6,4.14,0.9,0.2,0,3,1,2,0,0,0,0,0,0,0,5,3,0,3,Non blessé,joueur mature,grand,moyen
Chet Holmgren,OKC,Gonzaga,USA,2022,1,2,32,15,8,2,16.1,26,6,27.4,5.2,10.7,1.4,3.6,3.2,4.2,1.5,6.5,1.8,0.7,2.2,2.3,11,0,9.2,1.09,0.97,4.7,3.81,0.9,0.5,0,7.4,2.8,1,0,0,0,0,0,0,0,10,1,8,2,Non blessé,jeune joueur,grand,moyen
Chris Boucher,TOR,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,50,10,4.5,0.7,-0.2,18,32,17.2,3.6,7.4,1.4,3.9,1.4,1.7,1.4,3.1,0.6,0.5,0.5,1.4,3,0,0.1,0.7,0.64,4.51,4.15,0.9,0.3,0.06,1.3,1.4,1,0,0,0,0,0,0,0,6,2,3,1,blessure haut,joueur vétéran,grand,léger
Chris Duarte,CHI,Oregon,Dominican Republic,2021,1,13,17,2.1,1.2,0.5,2.8,4,13,4.4,0.7,1.5,0.4,0.9,0.4,0.5,0.3,0.9,0.1,0,0,0.4,0,0,0.7,0.18,0.17,5,3.87,0.3,0.2,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,moyen,léger
Chris Livingston,MIL,Kentucky,USA,2023,2,58,21,1.4,1.7,0.2,-12.6,15,6,5,0.4,1.3,0,0.4,0.6,0.8,0.5,1.2,0.3,0.2,0,0.4,0,0,-1.4,0.21,0.2,4.69,4.09,1.1,0.2,0,1,0.1,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,jeune joueur,moyen,moyen
Chris Paul,SAS,Wake Forest,USA,2005,1,4,82,8.8,3.6,7.4,-0.8,34,48,28,3,7.1,1.7,4.5,1,1.1,0.4,3.2,1.6,1.3,0.3,1.8,12,0,0,0.98,0.84,3.95,3.38,2.4,0.8,0,0.5,1.1,3,0,0,0,0,0,0,0,4,1,0,3,Non blessé,joueur vétéran,petit,léger
Christian Braun,DEN,Kansas,USA,2022,1,21,79,15.4,5.2,2.6,8.2,48,31,33.9,6,10.4,1.1,2.8,2.2,2.7,1.2,3.9,1,1.1,0.5,2.2,6,0,6.1,1.37,1.23,4.72,3.99,1.8,0.6,0.05,2.6,2.2,3,0,0,0,0,0,0,0,12,0,6,1,Non blessé,joueur mature,moyen,moyen
Christian Koloko,LAL,Arizona,Cameroon,2022,2,33,37,2.4,2.5,0.4,-1.3,23,14,9.2,1.1,1.8,0,0.1,0.3,0.4,0.9,1.5,0.3,0.2,0.4,1.2,0,0,-0.2,0.38,0.34,4.47,4.17,0.6,0.3,0,2.7,0.9,0,0,0,0,0,1,3,0,0,0,0,1,Non blessé,joueur mature,grand,moyen
Chuma Okeke,CLE,Auburn,USA,2019,1,16,9,5.9,5.2,1.7,-6.3,2,7,21.9,2.2,4.4,1.2,3.1,0.2,0.3,2.3,2.9,0.3,0.6,0.4,0.6,1,0,-3.1,0.9,0.83,4.63,4.23,1.9,0.8,0,2.3,2,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,moyen,moyen
CJ McCollum,NOP,Lehigh,USA,2013,1,10,56,21.1,3.8,4.1,-7.1,17,39,32.7,7.9,17.9,3.1,8.2,2.2,3.1,0.8,3,1.9,0.8,0.4,2.2,0,0,-5,1.43,1.16,4.92,3.95,1.5,0.7,0.04,1.7,2.1,2,0,1,0,0,0,0,0,4,0,0,1,blessure bas,joueur vétéran,petit,léger
Clint Capela,ATL,None,Switzerland,2014,1,25,55,8.9,8.5,1.1,-2.7,27,28,21.4,4,7.1,0,0,0.9,1.8,3.2,5.4,0.9,0.6,1,1.9,11,0,-1.4,0.83,0.76,4.47,3.89,1.1,0.5,0.16,4.3,1.6,7,0,0,1,0,1,1,0,10,2,1,2,blessure haut,joueur expérimenté,grand,lourd
Coby White,CHI,North Carolina,USA,2019,1,7,74,20.4,3.7,4.5,-2.5,35,39,33.1,6.9,15.1,2.9,7.9,3.7,4.1,0.3,3.4,2.4,0.9,0.2,2.1,2,0,-1.9,1.33,1.14,4.69,3.73,1.3,0.6,0.04,2,1.9,16,0,0,0,0,4,0,1,17,0,7,4,Non blessé,joueur mature,moyen,léger
Cody Martin,PHX,Nevada,USA,2019,2,36,53,6.8,4.2,2,-3.2,16,37,22.1,2.6,6.1,0.8,2.8,0.8,1.2,1,3.2,1,1.1,0.6,1.8,0,0,-2,0.96,0.82,4.77,4.14,2.1,0.9,0.1,1.6,1.3,1,0,0,0,0,1,0,0,1,0,0,0,Non blessé,joueur expérimenté,moyen,léger
Cody Williams,UTA,Colorado,USA,2024,1,10,50,4.6,2.3,1.2,-15.5,9,41,21.2,1.7,5.1,0.7,2.7,0.6,0.8,0.5,1.7,0.9,0.5,0.3,1.9,0,0,-6.8,0.92,0.82,4.67,4.5,1,0.2,0,1.9,1.7,2,0,1,0,0,0,0,0,3,0,0,0,blessure haut,jeune joueur,moyen,léger
Colby Jones,WAS,Xavier,USA,2023,2,34,39,4,2.2,1.1,-10.4,12,27,13.2,1.5,3.3,0.4,1.3,0.6,0.9,0.5,1.7,0.6,0.7,0.3,0.9,1,0,-2.9,0.61,0.51,5.17,4.33,1.6,0.3,0.03,1.6,1,2,0,0,0,0,0,0,0,1,0,0,0,Non blessé,jeune joueur,moyen,moyen
Cole Anthony,ORL,North Carolina,USA,2020,1,15,67,9.4,3,2.9,-1.2,35,32,18.4,3.4,8.1,1.1,3.3,1.4,1.7,0.7,2.4,1.5,0.7,0.5,2.3,0,0,-0.2,0.79,0.64,4.66,4.02,1.5,0.6,0.05,1.5,1,6,1,0,0,0,3,0,0,4,0,0,4,Non blessé,joueur mature,petit,léger
Cole Swider,TOR,Syracuse,USA,Undrafted,Undrafted,Undrafted,10,5.9,2.7,0.3,13.7,5,5,17,2.2,6.3,1.5,4.7,0,0.1,0.5,2.2,0.4,0.4,0.2,1.2,0,0,5.4,0.75,0.66,4.99,4.28,0.9,0,0.1,1.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,grand,moyen
Colin Castleton,TOR,Florida,USA,Undrafted,Undrafted,Undrafted,26,4.7,4.7,1.1,-2.1,15,11,16.6,1.8,3.8,0.1,0.6,1.1,1.5,2,2.7,0.9,0.3,0.4,2,0,0,-1.2,0.66,0.6,4.44,4.01,0.6,0.2,0,3.2,2.1,4,0,0,1,0,0,0,0,2,1,1,2,Non blessé,joueur mature,grand,lourd
Collin Gillespie,PHX,Villanova,USA,Undrafted,Undrafted,Undrafted,33,5.9,2.4,2.4,-2.8,12,21,14,2.1,4.8,1.2,2.7,0.6,0.7,0.7,1.7,0.5,0.6,0.2,0.9,1,0,-0.9,0.62,0.53,4.74,4.43,1.7,0.5,0.03,0.6,0.9,2,0,0,0,0,1,0,0,1,0,1,1,Non blessé,joueur mature,petit,léger
Collin Sexton,UTA,Alabama,USA,2018,1,8,63,18.4,2.7,4.2,-7.5,14,49,27.9,6.6,13.8,1.7,4.3,3.4,4,1,1.8,2.5,0.7,0.1,2.3,2,0,-4.5,1.13,0.89,4.34,3.71,1.6,0.5,0,0.8,0.9,7,0,0,2,0,3,1,0,8,0,1,0,Non blessé,joueur expérimenté,petit,léger
Corey Kispert,WAS,Gonzaga,USA,2021,1,15,61,11.6,3,1.7,-8.5,14,47,26.3,4.2,9.3,2,5.4,1.2,1.4,0.6,2.4,1,0.4,0.2,1.6,0,0,-4.5,1.2,0.96,5.09,4.08,1,0.4,0,1.8,1.5,8,0,0,0,0,1,0,0,6,0,2,1,blessure haut,joueur expérimenté,moyen,moyen
Cory Joseph,ORL,Texas,Canada,2011,1,29,50,3.5,1.5,1.4,3.6,26,24,12.2,1.2,3.1,0.8,2.1,0.3,0.4,0.3,1.1,0.4,0.5,0.1,1,0,0,0.7,0.53,0.46,4.66,4.37,0.9,0.3,0.02,1.1,1,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur vétéran,petit,léger
Craig Porter Jr.,CLE,Wichita State,USA,Undrafted,Undrafted,Undrafted,51,3.7,1.3,1.4,-5.2,40,11,10.1,1.4,2.7,0.4,0.9,0.5,0.6,0.4,0.9,0.7,0.3,0.3,0.5,0,0,-0.9,0.41,0.39,4.57,4.22,1.1,0.3,0,1.1,0.9,2,1,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,petit,léger
Cui Yongxi,BKN,None,China,Undrafted,Undrafted,Undrafted,5,0.6,0.4,0,4.8,2,3,2.1,0.2,1.4,0,0.6,0.2,0.4,0,0.4,0,0,0,0,0,0,0.4,0.09,0.08,5.09,4.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,jeune joueur,moyen,léger
D.J. Carton,TOR,Marquette,USA,Undrafted,Undrafted,Undrafted,4,0.8,1,0.8,12.9,1,3,8.3,0.3,1.8,0,0.8,0.3,0.3,0,1,1,0.5,0,0.3,0,0,3,0.41,0.36,5.42,4.57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,petit,léger
D'Angelo Russell,BKN,Ohio State,USA,2015,1,2,58,12.6,2.8,5.1,-1.5,26,32,25.5,4.3,11,1.9,6.2,2.1,2.5,0.3,2.4,1.9,1,0.4,2,4,0,0,1.05,0.86,4.53,3.81,2.2,0.3,0.02,1.3,1.5,1,0,0,0,1,1,0,0,11,2,1,2,blessure bas,joueur expérimenté,petit,léger
Daeqwon Plowden,ATL,Bowling Green,USA,Undrafted,Undrafted,Undrafted,6,7.2,1.8,0.3,19.8,3,3,11.9,2.7,4.2,1.5,2.8,0.3,0.3,0.7,1.2,0.7,0,0,1.7,0,0,4.8,0.52,0.46,5.14,4.1,0.3,0.3,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur expérimenté,moyen,moyen
Daishen Nix,MIN,None,USA,Undrafted,Undrafted,Undrafted,3,0.3,1.3,1,23.9,3,0,4.4,0,0.3,0,0.3,0.3,0.7,0,1.3,1.3,0,0,0.3,0,0,3,0.17,0.14,3.88,3.49,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,moyen,lourd
