Player Team Age Height Weight COLLEGE COUNTRY "DRAFT YEAR" "DRAFT ROUND" "DRAFT NUMBER" GP PTS REB AST NETRTG OREB% DREB% USG% TS% AST% W L Min PTS FGM FGA FG% 3PM 3PA 3P% FTM FTA FT% OREB DREB REB AST TOV STL BLK PF FP DD2 TD3 +/- Dist. Feet Dist. Miles Dist. Miles Off Dist. Miles Def Avg Speed Avg Speed Off Avg Speed Def "Screen Assists" "Screen Assists PTS" Deflections "OFF Loose Balls Recovered" "DEF Loose Balls Recovered" "Loose Balls Recovered" "% Loose Balls Recovered OFF" "% Loose Balls Recovered DEF" "Charges Drawn" "Contested 2PT Shots" "Contested 3PT Shots" "Contested Shots" Travel "DOUBLE DRIBBLE" "DISC. DRIBBLE" "OFF. 3 SEC" INBOUND "BACK- COURT" "OFF.  GLTND" PALMING "OFF. FOUL" "DEF.  3 SEC" CHARGE "DEF.  GLTND" LANE "JUMP BALL" "KICKED BALL"
"Amen Thompson" HOU 22 6-7 200 None USA 2023 1 4 69.0 14.1 8.2 3.8 6.3 7.8 15.9 17.2 60.2 16.7 43 26 32.3 14.1 5.6 10.1 55.7 0.4 1.3 27.5 2.4 3.6 68.4 2.8 5.4 8.2 3.8 2.0 1.4 1.3 2.4 35.7 21.0 3.0 3.9 13219.9 2.50 1.32 1.18 4.33 4.55 4.11 0.4 0.9 2.9 0.4 0.4 0.8 47.2 52.8 0.04 3.3 1.4 4.6 9 0 0 0 1 1 1 0 15 0 8 4 0 0 0
"Amir Coffey" LAC 27 6-7 210 Minnesota USA Undrafted Undrafted Undrafted 72.0 9.7 2.2 1.1 -1.4 1.9 7.2 15.0 61.4 6.5 41 31 24.3 9.7 3.3 7.1 47.1 1.4 3.4 40.9 1.6 1.8 89.1 0.4 1.8 2.2 1.1 0.6 0.6 0.1 1.7 15.3 0.0 0.0 -0.9 9199.6 1.74 0.90 0.85 4.00 4.04 3.96 0.4 0.8 1.1 0.1 0.2 0.3 42.9 57.1 0.04 1.2 1.2 2.4 3 0 0 0 0 1 0 0 5 0 0 0 0 0 1
"Andre Drummond" PHI 31 6-11 279 Connecticut USA 2012 1 9 40.0 7.3 7.8 0.9 -15.5 13.4 28.8 18.3 53.5 7.0 12 28 18.8 7.3 2.9 5.9 50.0 0.1 0.5 15.0 1.4 2.3 62.2 2.7 5.0 7.8 0.9 1.4 1.0 0.5 2.4 20.8 5.0 0.0 -6.1 7098.4 1.34 0.69 0.65 4.02 4.06 3.99 2.3 5.1 1.6 0.3 0.1 0.4 64.7 35.3 0.00 3.1 2.0 5.1 3 0 0 4 0 0 1 0 19 5 4 1 0 0 1
"Andre Jackson Jr." MIL 23 6-6 209 Connecticut USA 2023 2 36 67.0 3.4 2.7 1.2 -1.5 6.6 11.4 11.5 55.4 10.9 39 28 14.6 3.4 1.4 2.9 47.7 0.4 1.1 39.5 0.2 0.4 50.0 1.0 1.7 2.7 1.2 0.9 0.5 0.2 1.7 9.8 0.0 0.0 -0.5 6607.3 1.25 0.66 0.59 4.83 5.01 4.65 0.4 1.1 1.2 0.2 0.1 0.4 63.6 36.4 0.00 1.1 0.7 1.8 4 0 0 0 0 0 1 0 9 0 0 1 0 0 4
"Andrew Nembhard" IND 25 6-4 191 Gonzaga Canada 2022 2 31 65.0 10.0 3.3 5.0 5.3 1.8 9.3 16.3 54.5 22.5 44 21 28.9 10.0 3.8 8.3 45.8 0.8 2.7 29.1 1.7 2.1 79.4 0.5 2.8 3.3 5.0 1.7 1.2 0.2 2.3 24.0 2.0 0.0 3.1 12245.3 2.32 1.17 1.15 4.49 4.70 4.29 0.3 0.7 1.9 0.2 0.3 0.5 38.7 61.3 0.09 1.9 1.5 3.4 4 1 1 0 0 1 0 0 11 0 0 0 0 2 4
"Andrew Wiggins" MIA 30 6-7 197 Kansas Canada 2014 1 1 60.0 18.0 4.5 2.6 -2.3 4.5 9.5 23.8 56.6 13.7 27 33 30.7 18.0 6.3 14.0 44.8 2.2 5.8 37.4 3.3 4.3 76.3 1.5 3.0 4.5 2.6 1.7 1.0 0.8 1.7 31.1 3.0 0.0 -1.7 12021.0 2.28 1.22 1.06 4.17 4.51 3.84 0.3 0.7 1.5 0.3 0.3 0.6 57.1 42.9 0.00 3.2 3.3 6.5 3 0 0 0 0 1 1 0 7 0 3 2 0 0 0
"Anfernee Simons" POR 25 6-3 200 None USA 2018 1 24 70.0 19.3 2.7 4.8 -4.6 1.0 6.9 24.1 55.7 24.1 28 42 32.7 19.3 6.8 16.1 42.6 3.1 8.5 36.3 2.5 2.8 90.2 0.4 2.3 2.7 4.8 2.0 0.9 0.1 1.7 30.5 2.0 0.0 -3.1 13169.9 2.49 1.35 1.14 4.27 4.68 3.87 0.1 0.2 1.2 0.2 0.3 0.5 35.1 64.9 0.04 1.4 1.6 3.0 1 3 0 0 0 0 0 1 5 0 4 0 0 0 2
"Anthony Black" ORL 21 6-7 200 Arkansas USA 2023 1 6 78.0 9.4 2.9 3.1 -0.9 2.6 10.0 19.0 52.1 20.1 39 39 24.2 9.4 3.4 7.9 42.3 0.8 2.5 31.8 1.9 2.5 76.1 0.7 2.3 2.9 3.1 1.8 1.1 0.6 2.1 21.0 1.0 0.0 -0.5 9460.5 1.79 0.95 0.85 4.11 4.20 4.00 0.3 0.5 2.4 0.2 0.3 0.5 44.7 55.3 0.03 2.3 1.6 3.9 6 1 0 0 0 0 1 0 10 1 2 0 0 0 2
"Anthony Davis" DAL 32 6-10 253 Kentucky USA 2012 1 1 51.0 24.7 11.6 3.5 0.5 8.3 25.4 30.1 58.8 18.2 30 21 33.4 24.7 9.2 17.8 51.6 0.7 2.4 28.2 5.6 7.2 77.5 2.6 8.9 11.6 3.5 2.2 1.2 2.2 1.9 51.7 36.0 1.0 0.5 11785.7 2.23 1.18 1.05 3.75 3.91 3.59 3.1 7.3 2.1 0.5 0.4 0.9 54.5 45.5 0.04 6.2 3.4 9.6 3 0 0 1 0 0 0 0 10 0 0 1 0 0 3
"Anthony Edwards" MIN 23 6-4 225 Georgia USA 2020 1 1 79.0 27.6 5.7 4.5 4.8 2.1 13.1 30.7 59.5 20.9 48 31 36.3 27.6 9.1 20.4 44.7 4.1 10.3 39.5 5.3 6.3 83.7 0.8 4.9 5.7 4.5 3.2 1.2 0.6 1.9 43.4 7.0 0.0 3.7 13441.4 2.55 1.41 1.14 3.92 4.30 3.54 0.1 0.3 2.1 0.3 0.3 0.6 51.0 49.0 0.00 1.8 1.5 3.3 7 0 3 0 1 4 1 0 12 0 6 1 1 0 4
